Index,Date,Sequences,Evagreen Run ID,Assay Run ID
0,20211209,"['1136', '1361', '6131', '1361', '1316', '1631', '1361', '1316', '1rr', '1636', '1361', '6131']",r1ggrhy388u8xm,r1ggs32xkan5dz
1,20211216,"['1136', '1361', '6131', '1361', '1316', '1631', '1361', '1316', '1rr', '1636', '1361', '6131']",r1ghbjznw8ecf9,r1ghern6b2dusr
2,20220110,"['3614', '1364', '1643', 'rrr', '4614', '1164', 'rc1', '6411', '4614', '3614', '1364', '1643']",r1gkruuu5whnge,r1gkv6r7ub5jbj
3,20220113,"['3614', '1364', '1643', 'rrr', '4614', '1164', '6114', '6141', '6611', '3614', '1364', '1643']",r1gkyyzzuw9yaf,r1gm42h9aw5tnk
4,20220125,"['3614', '1364', '1643', 'rrr', '4614', '1164', '6114', '6141', '6611', '3614', '1364', '1643']",r1gn7xfyhs9xxn,r1gnb8q95x9k9j
5,20220126,"['1363', '1346', '1266', '1644', '4rr', 'rc1', '6131', '6111', '6151', '3116', '6113', '3163']",r1gneb2rckzufn,r1gnhjzhrv6s2m
6,20220131,"['1363', '1346', '1266', '1644', '4rr', 'rc1', '6131', '6121', '6511', '3116', '6113', '3163']",r1gnyfvg3mwfm8,r1gp3q6we5a5jf
7,20220203,"['6313', '3113', '1613', '6113', '3116', '3161', '6521', 'cr1', '6211', '6311', '5316', '4315']",r1gpaqbvwwhsj6,r1gpdxjder2864
8,20220207,"['1613', '5316', '2313', '6113', '6131', '6114', 'cr1', '6311', '6514', '6315', '2311', '5311']",r1gpuwnkj65raw,r1gpy4f32p49y7
9,20220210,"['3361', '3316', '6312', '3613', '5113', '4113', '6314', '6cc', '6361', '6351', '5311', '6611']",r1gq3u4c5yh65f,r1gq6ux9xzgyz8
10,20220214,"['6316', '3312', '6512', '3613', '5113', '4113', '6314', '6cc', '6331', '6511', '6451', '6321']",r1gqhsrvkbfv8g,r1gqmqwhymmm2f
11,20220216,"['6316', '3312', '6512', '6136', '6251', '6511', 'rr1', '4311', '3311', '6551', '6521', '6411']",r1gqrd366ga9qf,r1gqufstjk9w4k
12,20220328,"['5362', '1352', '1342', '6136', '6251', '6511', 'rr1', '4311', '3311', '6411', '6521', '6211']",r1gwq7zwh2qh5z,r1gwtkysbxc3c2
13,20220413,"['5362', '1352', '1342', '1143', 'rr3', '1rc', '6543', '6545', '6541', '6552', '6251', '3551']",r1gx2gbkbhamgv,r1gx5qr82rhk2t
