,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),0,,aq1frst62edjbpr,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:0,,,,,,
1,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),1,,aq1frst62eephts,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:1,,,,,,
2,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),2,,aq1frst62eephtu,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:2,,,,,,
3,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),3,,aq1frst62eephtw,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:3,,,,,,
4,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),4,,aq1frst62eftqxt,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:4,,,,,,
5,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),5,,aq1frst62eftqxv,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:5,,,,,,
6,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),6,,aq1frst62eftqxx,30.0,,,,,,,,,,,,,,
7,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),7,,aq1frst62egxx3u,30.0,,,,,,,,,,,,,,
8,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),8,,aq1frst62egxx3w,30.0,,,,,,,,,,,,,,
9,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),9,,aq1frst62egxx3y,30.0,,,,,,,,,,,,,,
10,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),10,,aq1frst62egxx42,30.0,,,,,,,,,,,,,,
11,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),11,,aq1frst62ej457w,30.0,,,,,,,,,,,,,,
12,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),12,,aq1frst7tvahp5n,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:0,,,,,,
13,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),13,,aq1frst7tvahp5q,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:1,,,,,,
14,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),14,,aq1frst7tvahp5s,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:2,,,,,,
15,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),15,,aq1frst7tvbnv9p,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:3,,,,,,
16,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),16,,aq1frst7tvbnv9r,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:4,,,,,,
17,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),17,,aq1frst7tvbnv9t,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:5,,,,,,
18,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),18,,aq1frst7tvct3dq,30.0,,,,,,,,,,,,,,
19,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),19,,aq1frst7tvct3ds,30.0,,,,,,,,,,,,,,
20,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),20,,aq1frst7tvct3du,30.0,,,,,,,,,,,,,,
21,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),21,,aq1frst7tvct3dw,30.0,,,,,,,,,,,,,,
22,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),22,,aq1frst7tvdx9hs,30.0,,,,,,,,,,,,,,
23,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),23,,aq1frst7tvdx9hu,30.0,,,,,,,,,,,,,,
24,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),24,,aq1frst9m9735es,30.0,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:0,,,,,,
25,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),25,,aq1frst9m9735eu,30.0,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:1,,,,,,
26,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),26,,aq1frst9m9735ew,30.0,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:2,,,,,,
27,Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate,ct1frskpxeqh2fa,Container(Row:0-ct1frs48v2f4y8r-Incubated-IVTT-Storage-Plate),27,,aq1frst9m987bju,30.0,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1frpday6eten4:3,,,,,,
