,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),0,IVTTReaction,aq1gb8vrrk5cfsn,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:0,,,,,,,
1,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),1,IVTTReaction,aq1gb8vrrk6gnwr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:1,,,,,,,
2,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),2,IVTTReaction,aq1gb8vrrk7mv2q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:2,,,,,,,
3,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),3,IVTTReaction,aq1gb8vrrk7mv2t,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:3,,,,,,,
4,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),4,IVTTReaction,aq1gb8vrrk8s36s,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:4,,,,,,,
5,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),5,IVTTReaction,aq1gb8vrrk8s36v,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gaq3z58r2frg:5,,,,,,,
6,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),6,,aq1gb8vvce6cxg7,-55.0,,,,,,,ct1gaq3z58r2frg:6,,,,,,,
7,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),7,,aq1gb8vvce6cxg9,-55.0,,,,,,,ct1gaq3z58r2frg:7,,,,,,,
8,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),8,,aq1gb8vvce6cxgb,-55.0,,,,,,,ct1gaq3z58r2frg:8,,,,,,,
9,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),9,,aq1gb8vvce6cxgd,-55.0,,,,,,,ct1gaq3z58r2frg:9,,,,,,,
10,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),10,,aq1gb8vvce7h5m9,-55.0,,,,,,,ct1gaq3z58r2frg:10,,,,,,,
11,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),11,,aq1gb8vvce7h5mb,-55.0,,,,,,,ct1gaq3z58r2frg:11,,,,,,,
12,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),12,,aq1gb8vvce7h5md,-55.0,,,,,,,ct1gaq3z58r2frg:12,,,,,,,
13,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),13,,aq1gb8vvce8nbr9,-55.0,,,,,,,ct1gaq3z58r2frg:13,,,,,,,
14,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),14,,aq1gb8vvce8nbrb,-55.0,,,,,,,ct1gaq3z58r2frg:14,,,,,,,
15,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),15,,aq1gb8vvce8nbrd,-55.0,,,,,,,ct1gaq3z58r2frg:15,,,,,,,
16,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),16,,aq1gb8vvce8nbrf,-55.0,,,,,,,ct1gaq3z58r2frg:16,,,,,,,
17,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),17,,aq1gb8vvce9shvb,-55.0,,,,,,,ct1gaq3z58r2frg:17,,,,,,,
18,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),18,,aq1gb8vvce9shvd,-55.0,,,,,,,ct1gaq3z58r2frg:18,,,,,,,
19,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),19,,aq1gb8vvce9shvf,-55.0,,,,,,,ct1gaq3z58r2frg:19,,,,,,,
20,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),20,,aq1gb8vvceawqzb,-55.0,,,,,,,ct1gaq3z58r2frg:20,,,,,,,
21,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),21,,aq1gb8vvceawqzd,-55.0,,,,,,,ct1gaq3z58r2frg:21,,,,,,,
22,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),22,,aq1gb8vvceawqzf,-55.0,,,,,,,ct1gaq3z58r2frg:22,,,,,,,
23,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),23,,aq1gb8vvcec2x5c,-55.0,,,,,,,ct1gaq3z58r2frg:23,,,,,,,
24,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),24,,aq1gb8vvcec2x5e,-55.0,,,,,,,ct1gaq3z58r2frg:24,,,,,,,
25,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),25,,aq1gb8vvcec2x5g,-55.0,,,,,,,ct1gaq3z58r2frg:25,,,,,,,
26,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),26,,aq1gb8vvcec2x5j,-55.0,,,,,,,ct1gaq3z58r2frg:26,,,,,,,
27,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),27,,aq1gb8vvced759e,-55.0,,,,,,,ct1gaq3z58r2frg:27,,,,,,,
28,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),28,,aq1gb8vvced759g,-55.0,,,,,,,ct1gaq3z58r2frg:28,,,,,,,
29,ct1gaq3z58r2frg-IVTT-Plate,ct1gb8mcgvh77yy,Container(ct1gaq3z58r2frg-IVTT-Plate),29,,aq1gb8vvced759j,-55.0,,,,,,,ct1gaq3z58r2frg:29,,,,,,,
