,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,EVA-Green:DNADye,EVA-Green:Volume,EVA-Green:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,source,2X-Phusion-Hot-Start-Flex-Master-Mix:MasterMix,2X-Phusion-Hot-Start-Flex-Master-Mix:Volume,2X-Phusion-Hot-Start-Flex-Master-Mix:Kind,UWisc-GoldenGate-Primer-Mix:PrimerMix,GoldenGate-Forward-Primer:Primer,GoldenGate-Forward-Primer:Kind,GoldenGate-Reverse-Primer:Primer,GoldenGate-Reverse-Primer:Kind,destination,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),0,PCRAmplificationCheckReaction,aq1gd2499r9xejj,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:0,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A1,20745.256891883917,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
1,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),1,PCRAmplificationCheckReaction,aq1gd2499r9xejn,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:1,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A2,44027.80102426152,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
2,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),2,PCRAmplificationCheckReaction,aq1gd2499rb3mpn,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:2,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A3,12828.796722560315,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
3,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),3,PCRAmplificationCheckReaction,aq1gd2499rb3mpr,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:3,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A4,10285.163193893102,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
4,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),4,PCRAmplificationCheckReaction,aq1gd2499rc7ttp,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:4,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A5,30198.876158176314,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
5,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),5,PCRAmplificationCheckReaction,aq1gd2499rdbzxn,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:5,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A6,5687.488006737914,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
6,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),6,PCRAmplificationCheckReaction,aq1gd2499rdbzxr,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:6,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A7,13811.926070358066,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
7,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),7,PCRAmplificationCheckReaction,aq1gd2499reg83p,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:7,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A8,8752.978626710757,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
8,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),8,PCRAmplificationCheckReaction,aq1gd2499reg83s,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:8,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A9,628.5137106302119,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
9,ct1gczmbhcvmvwf-EVA-Green-Plate,ct1gczyrvedyvnt,Container(ct1gczmbhcvmvwf-EVA-Green-Plate),9,PCRAmplificationCheckReaction,aq1gd2499rfme7q,100.0,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1gczmbhcvmvwf-Diluted-PCR-Plate:9,,,,,,,,,,ct1gczmbhcvmvwf-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18DCCEF8>,ct1gczmbhcvmvwf-EVA-Green-Plate,A10,5483.69006551295,ct1gczyrvedyvnt,PCRAmplificationCheckReaction,100.0,0.2980392156862745,d13tne2ewe2mgh,w13tnduabnh39f,2021-11-11T16:05:10.634-08:00,platereader,i1gczyrvd9srmt,[],,,False,,,,,False,2021-11-11T16:05:10.722-08:00,-1,485,485
