,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),0,,aq1gd5q4zsykpxa,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:0,,,,,,
1,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),1,,aq1gd5q4zsykpxc,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:1,,,,,,
2,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),2,,aq1gd5q4zsykpxe,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:2,,,,,,
3,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),3,,aq1gd5q4zszqw3b,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:3,,,,,,
4,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),4,,aq1gd5q4zszqw3d,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:4,,,,,,
5,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),5,,aq1gd5q4zszqw3f,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:5,,,,,,
6,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),6,,aq1gd5q4zt2v47c,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:6,,,,,,
7,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),7,,aq1gd5q4zt2v47e,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:7,,,,,,
8,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),8,,aq1gd5q4zt2v47g,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:8,,,,,,
9,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),9,,aq1gd5q4zt3zabd,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:9,,,,,,
10,Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate,ct1gd56crtee7qz,Container(Row:0-ct1gd25axsa2z63-Incubated-IVTT-Storage-Plate),10,,aq1gd5q4zt3zabf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:10,,,,,,
