,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A1,66272.63172385255,ct1gd56crt6ftts,aq1gd5hyda3wnvm,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:0,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
1,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A2,66586.71092750068,ct1gd56crt6ftts,aq1gd5hyda9knhu,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:1,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
2,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A3,67066.78185353923,ct1gd56crt6ftts,aq1gd5jkwzcnzuj,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:2,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
3,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A4,67399.80722193295,ct1gd56crt6ftts,aq1gd5jkwzjbzgn,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:3,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
4,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A5,67831.06227121301,ct1gd56crt6ftts,aq1gd5k8h4ymaph,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:4,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
5,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A6,68205.86089937249,ct1gd56crt6ftts,aq1gd5k8h55647r,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:5,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
6,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A7,68577.70067516736,ct1gd56crt6ftts,aq1gd5kuzs4tpx7,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:6,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
7,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A8,68751.46404425662,ct1gd56crt6ftts,aq1gd5kuzs9cgff,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:7,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
8,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A9,69158.42073783977,ct1gd56crt6ftts,aq1gd5mggys7bb2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:8,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
9,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D4E10E8>,Row:0-ct1gd25axsa2z63-ProteinActivity-Plate,A10,69204.83979269466,ct1gd56crt6ftts,aq1gd5mggyxvay6,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gczyrve76pvm:9,0.1607843137254902,d13tnuuucuyk77,w13tnu5taxnpmg,2021-11-12T17:03:54.207-08:00,platereader,i1gd56crm7dkmh,[],,,False,,,,,False,2021-11-12T17:03:54.284-08:00,-1,494,512
