,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),0,,aq1gdth8fzz5gf9,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:0,,,,,,
1,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),1,,aq1gdth8g229pkb,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:1,,,,,,
2,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),2,,aq1gdth8g229pkd,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:2,,,,,,
3,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),3,,aq1gdth8g229pkf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:3,,,,,,
4,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),4,,aq1gdth8g23dvqc,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:4,,,,,,
5,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),5,,aq1gdth8g23dvqe,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:5,,,,,,
6,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),6,,aq1gdth8g23dvqg,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:6,,,,,,
7,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),7,,aq1gdth8g24j3ud,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:7,,,,,,
8,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),8,,aq1gdth8g24j3uf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:8,,,,,,
9,Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate,ct1gdta8rdbtae3,Container(Row:0-ct1gdsrbcs8z68p-Incubated-IVTT-Storage-Plate),9,,aq1gdth8g24j3uh,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:9,,,,,,
