,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A1,143.94636449489505,ct1gdta8rd2qqct,aq1gdtc8dnqmctc,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:0,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
1,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A2,174.36538477797367,ct1gdta8rd2qqct,aq1gdtc8dnwacfh,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:1,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
2,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A3,185.28765779004712,ct1gdta8rd2qqct,aq1gdtcuwv2bh37,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:2,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
3,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A4,135.0157012201604,ct1gdta8rd2qqct,aq1gdtcuwv6vake,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:3,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
4,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A5,175.35086561304925,ct1gdta8rd2qqct,aq1gdtdghdwacyy,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:4,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
5,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A6,143.56157318766154,ct1gdta8rd2qqct,aq1gdtdghe3ycn4,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:5,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
6,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A7,142.220599282704,ct1gdta8rd2qqct,aq1gdte4zmy66t2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:6,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
7,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A8,192.09613242691282,ct1gdta8rd2qqct,aq1gdte4zn4pyba,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:7,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
8,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A9,137.3637087179358,ct1gdta8rd2qqct,aq1gdterhfummfv,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:8,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
9,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17F3C7C0>,Row:0-ct1gdsrbcs8z68p-ProteinActivity-Plate,A10,148.3785318453891,ct1gdta8rd2qqct,aq1gdterhg2am4z,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gdsj7uvnqvsh:9,0.25098039215686274,d13trg2837tfp8,w13tret784fbde,2021-11-18T19:47:13.296-08:00,platereader,i1gdta8r87um7j,[],,,False,,,,,False,2021-11-18T19:47:13.374-08:00,46,372,445
