,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),0,,aq1gfc5xq363rpd,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:0,,,,,,
1,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),1,,aq1gfc5xq363rpf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:1,,,,,,
2,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),2,,aq1gfc5xq363rph,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:2,,,,,,
3,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),3,,aq1gfc5xq377xtf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:3,,,,,,
4,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),4,,aq1gfc5xq377xth,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:4,,,,,,
5,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),5,,aq1gfc5xq38c5xf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:5,,,,,,
6,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),6,,aq1gfc5xq38c5xh,30.0,,,,,,,,,,,,,,
7,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),7,,aq1gfc5xq38c5xk,30.0,,,,,,,,,,,,,,
8,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),8,,aq1gfc5xq39gc3h,30.0,,,,,,,,,,,,,,
9,Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate,ct1gfbwycy6r32j,Container(Row:0-ct1gfb8mkzhp9ab-Incubated-IVTT-Storage-Plate),9,,aq1gfc5xq39gc3k,30.0,,,,,,,,,,,,,,
