,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A1,396.5011516640219,ct1gfbwycxxwv9c,aq1gfc2f34rqpjp,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:0,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
1,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A2,373.1208378282312,ct1gfbwycxxwv9c,aq1gfc2f34xdp7u,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:1,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
2,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A3,366.6487808165004,ct1gfbwycxxwv9c,aq1gfc38b99h9yf,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:2,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
3,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A4,370.5343646628497,ct1gfbwycxxwv9c,aq1gfc38b9f79mn,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:3,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
4,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A5,376.5135535826126,ct1gfbwycxxwv9c,aq1gfc3vwtnabjy,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:4,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
5,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A6,378.23553503415854,ct1gfbwycxxwv9c,aq1gfc3vwttyb86,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gf8fcm363j99:5,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
6,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A7,304.6485678074334,ct1gfbwycxxwv9c,aq1gfc56tscth7h,ProteinActivityReaction,10.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,,,,,,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
7,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A8,303.31718331975526,ct1gfbwycxxwv9c,aq1gfc56tscth7k,ProteinActivityReaction,10.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,,,,,,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
8,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A9,297.90077886837275,ct1gfbwycxxwv9c,aq1gfc56tscth7n,ProteinActivityReaction,10.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,,,,,,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
9,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A10,296.5200503170465,ct1gfbwycxxwv9c,aq1gfc56tsdxqbk,ProteinActivityReaction,10.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,,,,,,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
10,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x17D06190>,Row:0-ct1gfb8mkzhp9ab-ProteinActivity-Plate,A11,299.8586537459078,ct1gfbwycxxwv9c,aq1gfc56tsdxqbn,ProteinActivityReaction,10.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,,,,,,0.25098039215686274,d13txer2xe52df,w13txdjrf3u8w9,2021-12-02T17:38:32.280-08:00,platereader,i1gfbwycvfqee6,[],,,False,,,,,False,2021-12-02T17:38:32.362-08:00,56,372,445
