,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),0,,aq1gfzkewyprazp,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:0,,,,,,
1,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),1,,aq1gfzkewyprazr,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:1,,,,,,
2,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),2,,aq1gfzkewyqvh5q,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,,,,,,
3,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),3,,aq1gfzkewyqvh5s,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:3,,,,,,
4,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),4,,aq1gfzkewyqvh5u,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:4,,,,,,
5,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),5,,aq1gfzkewyrzq9r,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:5,,,,,,
6,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),6,,aq1gfzkewyrzq9t,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:6,,,,,,
7,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),7,,aq1gfzkewyrzq9v,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:7,,,,,,
8,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),8,,aq1gfzkewyt5wds,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:8,,,,,,
9,Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate,ct1gfzbze5bz6yu,Container(Row:0-ct1gfyt7zbpqwfb-Incubated-IVTT-Storage-Plate),9,,aq1gfzkewyt5wdu,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:9,,,,,,
