,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A1,53408.37654347698,ct1gfzbze556z7n,aq1gfze3t75acmg,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:0,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
1,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A2,52921.80116999008,ct1gfzbze556z7n,aq1gfze3t7ayc9p,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:1,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
2,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A3,53353.40498189627,ct1gfzbze556z7n,aq1gfzeq6rb6d2c,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
3,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A4,54421.945956028976,ct1gfzbze556z7n,aq1gfzeq6rgucpk,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:3,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
4,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A5,53761.27549860834,ct1gfzbze556z7n,aq1gfzfbj75k7g9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:4,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
5,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A6,53492.427670243094,ct1gfzbze556z7n,aq1gfzfbj7b975f,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:5,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
6,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A7,53569.63171542339,ct1gfzbze556z7n,aq1gfzfxw74t9ry,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:6,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
7,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A8,54296.097773825364,ct1gfzbze556z7n,aq1gfzfxw7ag9e7,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:7,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
8,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A9,54479.786244092196,ct1gfzbze556z7n,aq1gfzgk9aecbvr,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:8,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
9,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,A10,54729.34874962888,ct1gfzbze556z7n,aq1gfzgk9an6hnv,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:9,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512
