,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22D48>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,52582.09629689955,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.1607843137254902,d13tzy9m7fkgys,w13tzxhxnbp8d6,2021-12-08T15:35:36.912-08:00,platereader,i1gfzbzdy2ch56,[],,,False,,,,,False,2021-12-08T15:35:36.988-08:00,-1,494,512,2021-12-08 23:35:36.988,0
1,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1EF22B80>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,342.02255858133765,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzydxcdsy9u,w13tzxhxnbtmsv,2021-12-08T15:50:45.321-08:00,platereader,i1gfzbzdyeupjh,[],,,False,,,,,False,2021-12-08T15:50:45.398-08:00,12,372,445,2021-12-08 23:50:45.398,15
2,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDA30>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,339.5031521334048,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyb2xx42zn,w13tzxhxnbtmsc,2021-12-08T15:40:39.967-08:00,platereader,i1gfzbzdy6wana,[],,,False,,,,,False,2021-12-08T15:40:40.051-08:00,4,372,445,2021-12-08 23:40:40.051,5
3,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDB80>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,335.8532534054513,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyabkdh6hb,w13tzxhxnbtms8,2021-12-08T15:38:08.484-08:00,platereader,i1gfzbzdy4mwd8,[],,,False,,,,,False,2021-12-08T15:38:08.564-08:00,2,372,445,2021-12-08 23:38:08.564,2
4,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDCD0>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,341.4514821543612,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyd823dtab,w13tzxhxnbtmsr,2021-12-08T15:48:14.100-08:00,platereader,i1gfzbzdyckaaf,[],,,False,,,,,False,2021-12-08T15:48:14.179-08:00,10,372,445,2021-12-08 23:48:14.179,12
5,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDE20>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,345.2170562920266,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzybsbmmx7g,w13tzxhxnbtmsg,2021-12-08T15:43:11.486-08:00,platereader,i1gfzbzdy96pwc,[],,,False,,,,,False,2021-12-08T15:43:11.565-08:00,6,372,445,2021-12-08 23:43:11.565,7
6,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[18 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDF70>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,346.55496281646583,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyg4dkqyjt,w13tzxhxnby26j,2021-12-08T15:58:19.246-08:00,platereader,i1gfzbzdynnvbq,[],,,False,,,,,False,2021-12-08T15:58:19.325-08:00,18,372,445,2021-12-08 23:58:19.325,22
7,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x180FDFB8>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,343.85879473447517,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyenpyjwm3,w13tzxhxnbtmsz,2021-12-08T15:53:16.596-08:00,platereader,i1gfzbzdyh53tk,[],,,False,,,,,False,2021-12-08T15:53:16.677-08:00,14,372,445,2021-12-08 23:53:16.677,17
8,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x01084238>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,347.5315392402436,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyfd2saf4m,w13tzxhxnby26e,2021-12-08T15:55:47.919-08:00,platereader,i1gfzbzdykdg3n,[],,,False,,,,,False,2021-12-08T15:55:47.995-08:00,16,372,445,2021-12-08 23:55:47.995,20
9,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,ct1gfzbze556z7n,Container(Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gfzeq6rfq6jg,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gfwe4b4be7z9:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate-Read[24 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x01084388>,Row:0-ct1gfyt7zbpqwfb-ProteinActivity-Plate,G3,353.5686034902912,ct1gfzbze556z7n,ProteinActivityReaction,100.0,0.25098039215686274,d13tzyj9htg7g3,w13tzxhxnby26x,2021-12-08T16:05:53.833-08:00,platereader,i1gfzbzdyvg34w,[],,,False,,,,,False,2021-12-08T16:05:53.911-08:00,24,372,445,2021-12-09 00:05:53.911,30
