,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,source,2X-Phusion-Hot-Start-Flex-Master-Mix:MasterMix,2X-Phusion-Hot-Start-Flex-Master-Mix:Volume,2X-Phusion-Hot-Start-Flex-Master-Mix:Kind,UWisc-GoldenGate-Primer-Mix:PrimerMix,GoldenGate-Forward-Primer:Primer,GoldenGate-Forward-Primer:Kind,GoldenGate-Reverse-Primer:Primer,GoldenGate-Reverse-Primer:Kind,destination,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind
0,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),0,PCRReaction,aq1ggrgn5mmxtpj,35.0,ct1ggnykwccrjg2:0,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:0, ct1ggp8zk8vjp69-IVTT-Plate:0",,,,,,
1,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),1,PCRReaction,aq1ggrgn5mp3ztm,35.0,ct1ggnykwccrjg2:1,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:1, ct1ggp8zk8vjp69-IVTT-Plate:1",,,,,,
2,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),2,PCRReaction,aq1ggrgn5mp3ztp,35.0,ct1ggnykwccrjg2:2,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:2, ct1ggp8zk8vjp69-IVTT-Plate:2",,,,,,
3,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),3,PCRReaction,aq1ggrgn5mq87xm,35.0,ct1ggnykwccrjg2:3,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:3, ct1ggp8zk8vjp69-IVTT-Plate:3",,,,,,
4,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),4,PCRReaction,aq1ggrgn5mq87xp,35.0,ct1ggnykwccrjg2:4,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:4, ct1ggp8zk8vjp69-IVTT-Plate:4",,,,,,
5,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),5,PCRReaction,aq1ggrgn5mq87xr,35.0,ct1ggnykwccrjg2:5,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:5, ct1ggp8zk8vjp69-IVTT-Plate:5",,,,,,
6,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),6,PCRReaction,aq1ggrgn5mq87xt,35.0,ct1ggnykwccrjg2:6,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:6, ct1ggp8zk8vjp69-IVTT-Plate:6",,,,,,
7,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),7,PCRReaction,aq1ggrgn5mrce3p,35.0,ct1ggnykwccrjg2:7,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:7, ct1ggp8zk8vjp69-IVTT-Plate:7",,,,,,
8,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),8,PCRReaction,aq1ggrgn5mrce3r,35.0,ct1ggnykwccrjg2:8,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:8, ct1ggp8zk8vjp69-IVTT-Plate:8",,,,,,
9,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),9,PCRReaction,aq1ggrgn5mrce3t,35.0,ct1ggnykwccrjg2:9,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:9, ct1ggp8zk8vjp69-IVTT-Plate:9",,,,,,
10,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),10,PCRReaction,aq1ggrgn5msgm7p,35.0,ct1ggnykwccrjg2:10,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:10, ct1ggp8zk8vjp69-IVTT-Plate:10",,,,,,
11,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),11,PCRReaction,aq1ggrgn5msgm7r,35.0,ct1ggnykwccrjg2:11,rs1f3k9px5cdv3u,10:microliter,Protein,rs1fcebkzxfdt72,rs1f3ka926du9fp,NucleicAcid,rs1f3kabm4hsbgw,NucleicAcid,"ct1ggnykwccrjg2-EVA-Green-Plate:11, ct1ggp8zk8vjp69-IVTT-Plate:11",,,,,,
12,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),12,,aq1ggrgn5msgm7t,35.0,ct1ggnykwccrjg2:12,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:12, ct1ggp8zk8vjp69-IVTT-Plate:12",,,,,,
13,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),13,,aq1ggrgn5msgm7v,35.0,ct1ggnykwccrjg2:13,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:13, ct1ggp8zk8vjp69-IVTT-Plate:13",,,,,,
14,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),14,,aq1ggrgn5mtmtbr,35.0,ct1ggnykwccrjg2:14,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:14, ct1ggp8zk8vjp69-IVTT-Plate:14",,,,,,
15,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),15,,aq1ggrgn5mtmtbt,35.0,ct1ggnykwccrjg2:15,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:15, ct1ggp8zk8vjp69-IVTT-Plate:15",,,,,,
16,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),16,,aq1ggrgn5mtmtbv,35.0,ct1ggnykwccrjg2:16,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:16, ct1ggp8zk8vjp69-IVTT-Plate:16",,,,,,
17,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),17,,aq1ggrgn5murzfs,35.0,ct1ggnykwccrjg2:17,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:17, ct1ggp8zk8vjp69-IVTT-Plate:17",,,,,,
18,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),18,,aq1ggrgn5murzfu,35.0,ct1ggnykwccrjg2:18,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:18, ct1ggp8zk8vjp69-IVTT-Plate:18",,,,,,
19,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),19,,aq1ggrgn5murzfw,35.0,ct1ggnykwccrjg2:19,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:19, ct1ggp8zk8vjp69-IVTT-Plate:19",,,,,,
20,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),20,,aq1ggrgn5mvw7ks,35.0,ct1ggnykwccrjg2:20,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:20, ct1ggp8zk8vjp69-IVTT-Plate:20",,,,,,
21,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),21,,aq1ggrgn5mvw7ku,35.0,ct1ggnykwccrjg2:21,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:21, ct1ggp8zk8vjp69-IVTT-Plate:21",,,,,,
22,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),22,,aq1ggrgn5mvw7kw,35.0,ct1ggnykwccrjg2:22,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:22, ct1ggp8zk8vjp69-IVTT-Plate:22",,,,,,
23,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),23,,aq1ggrgn5mx2dqt,35.0,ct1ggnykwccrjg2:23,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:23, ct1ggp8zk8vjp69-IVTT-Plate:23",,,,,,
24,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),24,,aq1ggrgn5mx2dqv,35.0,ct1ggnykwccrjg2:24,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:24, ct1ggp8zk8vjp69-IVTT-Plate:24",,,,,,
25,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),25,,aq1ggrgn5mx2dqx,35.0,ct1ggnykwccrjg2:25,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:25, ct1ggp8zk8vjp69-IVTT-Plate:25",,,,,,
26,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),26,,aq1ggrgn5mx2dqz,35.0,ct1ggnykwccrjg2:26,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:26, ct1ggp8zk8vjp69-IVTT-Plate:26",,,,,,
27,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),27,,aq1ggrgn5my6kuv,35.0,ct1ggnykwccrjg2:27,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:27, ct1ggp8zk8vjp69-IVTT-Plate:27",,,,,,
28,ct1ggnykwccrjg2-Diluted-PCR-Plate,ct1ggp8zk8vjp69,Container(ct1ggnykwccrjg2-Diluted-PCR-Plate),28,,aq1ggrgn5my6kux,35.0,ct1ggnykwccrjg2:28,,,,,,,,,"ct1ggnykwccrjg2-EVA-Green-Plate:28, ct1ggp8zk8vjp69-IVTT-Plate:28",,,,,,
