,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),0,,aq1ggse997d9cgj,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:0,,,,,,
1,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),1,,aq1ggse997edjmm,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:1,,,,,,
2,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),2,,aq1ggse997edjmp,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:2,,,,,,
3,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),3,,aq1ggse997fhrrm,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:3,,,,,,
4,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),4,,aq1ggse997fhrrp,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:4,,,,,,
5,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),5,,aq1ggse997fhrrr,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:5,,,,,,
6,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),6,,aq1ggse997gnxvn,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:6,,,,,,
7,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),7,,aq1ggse997gnxvq,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,,,,,,
8,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),8,,aq1ggse997gnxvs,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:8,,,,,,
9,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),9,,aq1ggse997ht5zp,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:9,,,,,,
10,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),10,,aq1ggse997ht5zr,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:10,,,,,,
11,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),11,,aq1ggse997ht5zt,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:11,,,,,,
12,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),12,,aq1ggseb2qraxnm,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:0,,,,,,
13,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),13,,aq1ggseb2qsf5sn,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:1,,,,,,
14,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),14,,aq1ggseb2qsf5sq,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:2,,,,,,
15,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),15,,aq1ggseb2qsf5ss,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:3,,,,,,
16,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),16,,aq1ggseb2qtkbwp,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:4,,,,,,
17,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),17,,aq1ggseb2qtkbwr,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:5,,,,,,
18,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),18,,aq1ggseb2qtkbwt,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:6,,,,,,
19,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),19,,aq1ggseb2quqj2q,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,,,,,,
20,Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate,ct1ggs32y3gu7dd,Container(Row:0-ct1ggrhy3bqq2ap-Incubated-IVTT-Storage-Plate),20,,aq1ggseb2quqj2s,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:8,,,,,,
