,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A1,571.3821584105627,ct1ggs32y39zzm7,aq1ggs87nfkrex7,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:0,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
1,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A2,408.12009934528777,ct1ggs32y39zzm7,aq1ggs87nftjmqd,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:1,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
2,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A3,411.4928644294881,ct1ggs32y39zzm7,aq1ggs8u4zcxc6m,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:2,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
3,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A4,420.98594622718366,ct1ggs32y39zzm7,aq1ggs8u4zhg5pt,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:3,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
4,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A5,475.54168901538804,ct1ggs32y39zzm7,aq1ggs9fkysgtt2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:4,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
5,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A6,418.29178859943636,ct1ggs32y39zzm7,aq1ggs9fkyx2mb9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:5,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
6,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A7,420.8340311821862,ct1ggs32y39zzm7,aq1ggsa42ha2uxz,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:6,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
7,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A8,454.90295663883256,ct1ggs32y39zzm7,aq1ggsa42hfqum6,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
8,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A9,425.5199198383455,ct1ggs32y39zzm7,aq1ggsaqg3vntzr,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:8,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
9,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,A10,425.53145763973566,ct1ggs32y39zzm7,aq1ggsaqg427mhy,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:9,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445
