,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1D104808>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,374.10091818893676,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xna2y4a5u,w13u4wt47gvpmg,2021-12-15T14:33:54.957-08:00,platereader,i1ggs32xw77hhq,[],,,False,,,,,False,2021-12-15T14:33:55.044-08:00,14,372,445,2021-12-15 22:33:55.044,17
1,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x015FABF8>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,364.0634881303348,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xk4vz7wfj,w13u4wt47gvpm4,2021-12-15T14:26:20.209-08:00,platereader,i1ggs32xvydbrh,[],,,False,,,,,False,2021-12-15T14:26:20.289-08:00,8,372,445,2021-12-15 22:26:20.289,10
2,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x181FCE38>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,366.07584015073684,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xku936mnk,w13u4wt47gvpm8,2021-12-15T14:28:51.589-08:00,platereader,i1ggs32xw2nqzk,[],,,False,,,,,False,2021-12-15T14:28:51.670-08:00,10,372,445,2021-12-15 22:28:51.670,12
3,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[36 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x181FC778>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,404.3901538510013,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xw83jbsjr,w13u4wt47h6gcy,2021-12-15T15:01:40.780-08:00,platereader,i1ggs32xwy2p9d,[],,,False,,,,,False,2021-12-15T15:01:40.856-08:00,36,372,445,2021-12-15 23:01:40.856,45
4,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x181FCE98>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,381.6527236599881,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xqf4vvnek,w13u4wt47h23yy,2021-12-15T14:41:29.043-08:00,platereader,i1ggs32xwdzqaw,[],,,False,,,,,False,2021-12-15T14:41:29.123-08:00,20,372,445,2021-12-15 22:41:29.123,25
5,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x181FC910>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,380.53573003050764,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xmjnqhezh,w13u4wt47gvpmc,2021-12-15T14:31:23.319-08:00,platereader,i1ggs32xw4x59n,[],,,False,,,,,False,2021-12-15T14:31:23.407-08:00,12,372,445,2021-12-15 22:31:23.407,15
6,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[28 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x181FC2F8>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,391.12040057716894,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xtbjf3w28,w13u4wt47h23zg,2021-12-15T14:51:34.633-08:00,platereader,i1ggs32xwny485,[],,,False,,,,,False,2021-12-15T14:51:34.711-08:00,28,372,445,2021-12-15 22:51:34.711,35
7,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18205028>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,374.8519089793637,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xnzds4men,w13u4wt47gvpmm,2021-12-15T14:36:26.282-08:00,platereader,i1ggs32xw9fwss,[],,,False,,,,,False,2021-12-15T14:36:26.367-08:00,16,372,445,2021-12-15 22:36:26.367,20
8,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[34 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18205988>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,404.6884540801194,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xvgpywgqn,w13u4wt47h23zv,2021-12-15T14:59:09.290-08:00,platereader,i1ggs32xwvs9zb,[],,,False,,,,,False,2021-12-15T14:59:09.374-08:00,34,372,445,2021-12-15 22:59:09.374,42
9,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,ct1ggs32y39zzm7,Container(Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate),79,ProteinActivityReaction,aq1ggsaqg3tdert,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ggp8zk8vjp69:7,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate-Read[18 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x18205238>,Row:0-ct1ggrhy3bqq2ap-ProteinActivity-Plate,G8,377.9720055726725,ct1ggs32y39zzm7,ProteinActivityReaction,100.0,0.25098039215686274,d13u4xpqsa9ark,w13u4wt47h23yu,2021-12-15T14:38:57.764-08:00,platereader,i1ggs32xwbrb2u,[],,,False,,,,,False,2021-12-15T14:38:57.842-08:00,18,372,445,2021-12-15 22:38:57.842,22
