,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),0,IVTTReaction,aq1gheahwh6bnuk,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:0,,,,,,,
1,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),1,IVTTReaction,aq1gheahwh6bnup,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:1,,,,,,,
2,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),2,IVTTReaction,aq1gheahwh7fuyn,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:2,,,,,,,
3,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),3,IVTTReaction,aq1gheahwh7fuyr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:3,,,,,,,
4,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),4,IVTTReaction,aq1gheahwh8m34q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:4,,,,,,,
5,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),5,IVTTReaction,aq1gheahwh8m34t,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:5,,,,,,,
6,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),6,IVTTReaction,aq1gheahwh9r98r,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:6,,,,,,,
7,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),7,IVTTReaction,aq1gheahwhavfcq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:7,,,,,,,
8,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),8,IVTTReaction,aq1gheahwhavfct,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:8,,,,,,,
9,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),9,IVTTReaction,aq1gheahwhbzngr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:9,,,,,,,
10,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),10,IVTTReaction,aq1gheahwhbzngu,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:10,,,,,,,
11,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),11,IVTTReaction,aq1gheahwhd5ums,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1ghbjznyv6ktk:11,,,,,,,
12,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),12,,aq1gheanrrjae35,-55.0,,,,,,,ct1ghbjznyv6ktk:12,,,,,,,
13,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),13,,aq1gheanrrjae37,-55.0,,,,,,,ct1ghbjznyv6ktk:13,,,,,,,
14,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),14,,aq1gheanrrjae39,-55.0,,,,,,,ct1ghbjznyv6ktk:14,,,,,,,
15,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),15,,aq1gheanrrkem76,-55.0,,,,,,,ct1ghbjznyv6ktk:15,,,,,,,
16,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),16,,aq1gheanrrkem78,-55.0,,,,,,,ct1ghbjznyv6ktk:16,,,,,,,
17,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),17,,aq1gheanrrkem7a,-55.0,,,,,,,ct1ghbjznyv6ktk:17,,,,,,,
18,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),18,,aq1gheanrrmjtb7,-55.0,,,,,,,ct1ghbjznyv6ktk:18,,,,,,,
19,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),19,,aq1gheanrrmjtb9,-55.0,,,,,,,ct1ghbjznyv6ktk:19,,,,,,,
20,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),20,,aq1gheanrrmjtbb,-55.0,,,,,,,ct1ghbjznyv6ktk:20,,,,,,,
21,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),21,,aq1gheanrrmjtbd,-55.0,,,,,,,ct1ghbjznyv6ktk:21,,,,,,,
22,ct1ghbjznyv6ktk-IVTT-Plate,ct1ghbpgee7p2fz,Container(ct1ghbjznyv6ktk-IVTT-Plate),22,,aq1gheanrrnpzf9,-55.0,,,,,,,ct1ghbjznyv6ktk:22,,,,,,,
