,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),0,IVTTReaction,aq1gkuqkzx9m8wj,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:0,,,,,,,
1,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),1,IVTTReaction,aq1gkuqkzxarf2k,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:1,,,,,,,
2,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),2,IVTTReaction,aq1gkuqkzxarf2p,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:2,,,,,,,
3,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),3,IVTTReaction,aq1gkuqkzxbvn6m,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:3,,,,,,,
4,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),4,IVTTReaction,aq1gkuqkzxbvn6q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:4,,,,,,,
5,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),5,IVTTReaction,aq1gkuqkzxczuan,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:5,,,,,,,
6,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),6,IVTTReaction,aq1gkuqkzxczuar,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:6,,,,,,,
7,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),7,IVTTReaction,aq1gkuqkzxe62eq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:7,,,,,,,
8,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),8,IVTTReaction,aq1gkuqkzxe62et,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:8,,,,,,,
9,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),9,IVTTReaction,aq1gkuqkzxfa8js,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:9,,,,,,,
10,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),10,IVTTReaction,aq1gkuqkzxfa8jv,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:10,,,,,,,
11,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),11,IVTTReaction,aq1gkuqkzxgeept,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkruuu8fzgkp:11,,,,,,,
12,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),12,,aq1gkuqquj5dksz,-55.0,,,,,,,ct1gkruuu8fzgkp:12,,,,,,,
13,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),13,,aq1gkuqquj5dkt3,-55.0,,,,,,,ct1gkruuu8fzgkp:13,,,,,,,
14,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),14,,aq1gkuqquj6hswx,-55.0,,,,,,,ct1gkruuu8fzgkp:14,,,,,,,
15,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),15,,aq1gkuqquj6hswz,-55.0,,,,,,,ct1gkruuu8fzgkp:15,,,,,,,
16,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),16,,aq1gkuqquj6hsx3,-55.0,,,,,,,ct1gkruuu8fzgkp:16,,,,,,,
17,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),17,,aq1gkuqquj7nz2y,-55.0,,,,,,,ct1gkruuu8fzgkp:17,,,,,,,
18,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),18,,aq1gkuqquj7nz32,-55.0,,,,,,,ct1gkruuu8fzgkp:18,,,,,,,
19,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),19,,aq1gkuqquj7nz34,-55.0,,,,,,,ct1gkruuu8fzgkp:19,,,,,,,
20,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),20,,aq1gkuqquj7nz36,-55.0,,,,,,,ct1gkruuu8fzgkp:20,,,,,,,
21,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),21,,aq1gkuqquj8t772,-55.0,,,,,,,ct1gkruuu8fzgkp:21,,,,,,,
22,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),22,,aq1gkuqquj8t774,-55.0,,,,,,,ct1gkruuu8fzgkp:22,,,,,,,
23,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),23,,aq1gkuqquj8t776,-55.0,,,,,,,ct1gkruuu8fzgkp:23,,,,,,,
24,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),24,,aq1gkuqquj9xdb3,-55.0,,,,,,,ct1gkruuu8fzgkp:24,,,,,,,
25,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),25,,aq1gkuqquj9xdb5,-55.0,,,,,,,ct1gkruuu8fzgkp:25,,,,,,,
26,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),26,,aq1gkuqquj9xdb7,-55.0,,,,,,,ct1gkruuu8fzgkp:26,,,,,,,
27,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),27,,aq1gkuqqujb3kf3,-55.0,,,,,,,ct1gkruuu8fzgkp:27,,,,,,,
28,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),28,,aq1gkuqqujb3kf5,-55.0,,,,,,,ct1gkruuu8fzgkp:28,,,,,,,
29,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),29,,aq1gkuqqujb3kf7,-55.0,,,,,,,ct1gkruuu8fzgkp:29,,,,,,,
30,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),30,,aq1gkuqqujc7sk4,-55.0,,,,,,,ct1gkruuu8fzgkp:30,,,,,,,
31,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),31,,aq1gkuqqujc7sk6,-55.0,,,,,,,ct1gkruuu8fzgkp:31,,,,,,,
32,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),32,,aq1gkuqqujc7sk8,-55.0,,,,,,,ct1gkruuu8fzgkp:32,,,,,,,
33,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),33,,aq1gkuqqujc7ska,-55.0,,,,,,,ct1gkruuu8fzgkp:33,,,,,,,
34,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),34,,aq1gkuqqujdbyq6,-55.0,,,,,,,ct1gkruuu8fzgkp:34,,,,,,,
35,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),35,,aq1gkuqqujdbyq8,-55.0,,,,,,,ct1gkruuu8fzgkp:35,,,,,,,
36,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),36,,aq1gkuqqujdbyqa,-55.0,,,,,,,ct1gkruuu8fzgkp:36,,,,,,,
37,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),37,,aq1gkuqqujeg6u7,-55.0,,,,,,,ct1gkruuu8fzgkp:37,,,,,,,
38,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),38,,aq1gkuqqujeg6u9,-55.0,,,,,,,ct1gkruuu8fzgkp:38,,,,,,,
39,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),39,,aq1gkuqqujeg6ub,-55.0,,,,,,,ct1gkruuu8fzgkp:39,,,,,,,
40,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),40,,aq1gkuqqujfmcy8,-55.0,,,,,,,ct1gkruuu8fzgkp:40,,,,,,,
41,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),41,,aq1gkuqqujfmcya,-55.0,,,,,,,ct1gkruuu8fzgkp:41,,,,,,,
42,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),42,,aq1gkuqqujfmcyc,-55.0,,,,,,,ct1gkruuu8fzgkp:42,,,,,,,
43,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),43,,aq1gkuqqujgrk48,-55.0,,,,,,,ct1gkruuu8fzgkp:43,,,,,,,
44,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),44,,aq1gkuqqujgrk4a,-55.0,,,,,,,ct1gkruuu8fzgkp:44,,,,,,,
45,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),45,,aq1gkuqqujgrk4c,-55.0,,,,,,,ct1gkruuu8fzgkp:45,,,,,,,
46,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),46,,aq1gkuqqujhvs89,-55.0,,,,,,,ct1gkruuu8fzgkp:46,,,,,,,
47,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),47,,aq1gkuqqujhvs8b,-55.0,,,,,,,ct1gkruuu8fzgkp:47,,,,,,,
48,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),48,,aq1gkuqqujhvs8d,-55.0,,,,,,,ct1gkruuu8fzgkp:48,,,,,,,
49,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),49,,aq1gkuqqujjzyca,-55.0,,,,,,,ct1gkruuu8fzgkp:49,,,,,,,
50,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),50,,aq1gkuqqujjzycc,-55.0,,,,,,,ct1gkruuu8fzgkp:50,,,,,,,
51,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),51,,aq1gkuqqujjzyce,-55.0,,,,,,,ct1gkruuu8fzgkp:51,,,,,,,
52,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),52,,aq1gkuqqujjzycg,-55.0,,,,,,,ct1gkruuu8fzgkp:52,,,,,,,
53,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),53,,aq1gkuqqujm66gc,-55.0,,,,,,,ct1gkruuu8fzgkp:53,,,,,,,
54,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),54,,aq1gkuqqujm66ge,-55.0,,,,,,,ct1gkruuu8fzgkp:54,,,,,,,
55,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),55,,aq1gkuqqujm66gg,-55.0,,,,,,,ct1gkruuu8fzgkp:55,,,,,,,
56,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),56,,aq1gkuqqujnacmd,-55.0,,,,,,,ct1gkruuu8fzgkp:56,,,,,,,
57,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),57,,aq1gkuqqujnacmf,-55.0,,,,,,,ct1gkruuu8fzgkp:57,,,,,,,
58,ct1gkruuu8fzgkp-IVTT-Plate,ct1gks46nd4sdc4,Container(ct1gkruuu8fzgkp-IVTT-Plate),58,,aq1gkuqqujnacmh,-55.0,,,,,,,ct1gkruuu8fzgkp:58,,,,,,,
