,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),0,IVTTReaction,aq1gm3ke7gzphrz,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:0,,,,,,,
1,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),1,IVTTReaction,aq1gm3ke7h2tqw3,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:1,,,,,,,
2,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),2,IVTTReaction,aq1gm3ke7h2tqw6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:2,,,,,,,
3,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),3,IVTTReaction,aq1gm3ke7h3xx25,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:3,,,,,,,
4,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),4,IVTTReaction,aq1gm3ke7h3xx28,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:4,,,,,,,
5,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),5,IVTTReaction,aq1gm3ke7h54566,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,,,,
6,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),6,IVTTReaction,aq1gm3ke7h68ba5,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:6,,,,,,,
7,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),7,IVTTReaction,aq1gm3ke7h68ba8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:7,,,,,,,
8,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),8,IVTTReaction,aq1gm3ke7h7che6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:8,,,,,,,
9,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),9,IVTTReaction,aq1gm3ke7h7che9,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:9,,,,,,,
10,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),10,IVTTReaction,aq1gm3ke7h8gqj8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:10,,,,,,,
11,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),11,IVTTReaction,aq1gm3ke7h8gqjb,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:11,,,,,,,
12,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),12,,aq1gm3khzkcdpyy,-55.0,,,,,,,ct1gkyyzzy9r69e:12,,,,,,,
13,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),13,,aq1gm3khzkdhw4u,-55.0,,,,,,,ct1gkyyzzy9r69e:13,,,,,,,
14,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),14,,aq1gm3khzkdhw4w,-55.0,,,,,,,ct1gkyyzzy9r69e:14,,,,,,,
15,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),15,,aq1gm3khzkdhw4y,-55.0,,,,,,,ct1gkyyzzy9r69e:15,,,,,,,
16,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),16,,aq1gm3khzkep48v,-55.0,,,,,,,ct1gkyyzzy9r69e:16,,,,,,,
17,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),17,,aq1gm3khzkep48x,-55.0,,,,,,,ct1gkyyzzy9r69e:17,,,,,,,
18,ct1gkyyzzy9r69e-IVTT-Plate,ct1gm3g9d5ypzqx,Container(ct1gkyyzzy9r69e-IVTT-Plate),18,,aq1gm3khzkep48z,-55.0,,,,,,,ct1gkyyzzy9r69e:18,,,,,,,
