,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x0C065340>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,51029.37207024239,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.1607843137254902,d13uhtdekq89yr,w13uhspsatyqa3,2022-01-14T15:18:16.308-08:00,platereader,i1gm42h9qdb8zk,{},[],,,,,,,False,2022-01-14T15:18:16.387-08:00,-1,494,512,2022-01-14 15:18:16.387000-08:00,0
1,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x155CF208>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,355.389031383928,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhte5x5fesu,w13uhspsau54p6,2022-01-14T15:20:47.549-08:00,platereader,i1gm42h9qgqudp,{},[],,,,,,,False,2022-01-14T15:20:47.630-08:00,2,372,445,2022-01-14 15:20:47.630000-08:00,2
2,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2268>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,358.2494597942846,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtevaydq4p,w13uhspsau54pa,2022-01-14T15:23:19.099-08:00,platereader,i1gm42h9qjz8nr,{},[],,,,,,,False,2022-01-14T15:23:19.177-08:00,4,372,445,2022-01-14 15:23:19.177000-08:00,5
3,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2D18>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,357.94855586954515,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtfknjff86,w13uhspsau54pe,2022-01-14T15:25:50.375-08:00,platereader,i1gm42h9qpdu2u,{},[],,,,,,,False,2022-01-14T15:25:50.454-08:00,6,372,445,2022-01-14 15:25:50.454000-08:00,7
4,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2238>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,363.2877861609709,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtgaywpzjf,w13uhspsau54pj,2022-01-14T15:28:21.604-08:00,platereader,i1gm42h9qrp8aw,{},[],,,,,,,False,2022-01-14T15:28:21.681-08:00,8,372,445,2022-01-14 15:28:21.681000-08:00,10
5,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2E68>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,365.8402463957704,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhth2bzcqq5,w13uhspsau9h38,2022-01-14T15:30:52.990-08:00,platereader,i1gm42h9qv3tpz,{},[],,,,,,,False,2022-01-14T15:30:53.070-08:00,10,372,445,2022-01-14 15:30:53.070000-08:00,12
6,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2BC8>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,368.1687961149533,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhthrpawgbv,w13uhspsau9h3c,2022-01-14T15:33:24.206-08:00,platereader,i1gm42h9qxc7y3,{},[],,,,,,,False,2022-01-14T15:33:24.287-08:00,12,372,445,2022-01-14 15:33:24.287000-08:00,15
7,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2730>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,371.2430816870125,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtjg2p46ya,w13uhspsau9h3g,2022-01-14T15:35:55.652-08:00,platereader,i1gm42h9r2rtc6,{},[],,,,,,,False,2022-01-14T15:36:14.120-08:00,14,372,445,2022-01-14 15:36:14.120000-08:00,17
8,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2B08>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,371.6254247541265,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtk7d22xhb,w13uhspsau9h3m,2022-01-14T15:38:26.877-08:00,platereader,i1gm42h9r66dr9,{},[],,,,,,,False,2022-01-14T15:38:26.956-08:00,16,372,445,2022-01-14 15:38:26.956000-08:00,20
9,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,ct1gm42h9xawmkp,Container(Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gm489f5zqyt9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gkyyzzy9r69e:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate-Read[18 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x163E2A90>,Row:0-ct1gm3g9d5ypzqx-ProteinActivity-Plate,G6,376.8063786341746,ct1gm42h9xawmkp,ProteinActivityReaction,100.0,0.2509803921568627,d13uhtkwpvtx7j,w13uhspsau9h3r,2022-01-14T15:40:57.996-08:00,platereader,i1gm42h9r8eszb,{},[],,,,,,,False,2022-01-14T15:40:58.081-08:00,18,372,445,2022-01-14 15:40:58.081000-08:00,22
