,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),0,IVTTReaction,aq1gnapykju95xm,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:0,,,,,,,
1,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),1,IVTTReaction,aq1gnapykju95xq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:1,,,,,,,
2,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),2,IVTTReaction,aq1gnapykjvdc3p,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:2,,,,,,,
3,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),3,IVTTReaction,aq1gnapykjvdc3s,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:3,,,,,,,
4,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),4,IVTTReaction,aq1gnapykjwhj7q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:4,,,,,,,
5,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),5,IVTTReaction,aq1gnapykjwhj7t,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:5,,,,,,,
6,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),6,IVTTReaction,aq1gnapykjxnrbs,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:6,,,,,,,
7,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),7,IVTTReaction,aq1gnapykjxnrbv,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:7,,,,,,,
8,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),8,IVTTReaction,aq1gnapykjysxft,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:8,,,,,,,
9,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),9,IVTTReaction,aq1gnapykjysxfw,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:9,,,,,,,
10,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),10,IVTTReaction,aq1gnapykjzx5ku,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:10,,,,,,,
11,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),11,IVTTReaction,aq1gnapykjzx5kx,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:11,,,,,,,
12,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),12,,aq1gnaq4eb4a8eu,-55.0,,,,,,,ct1gn7xfym2p7zn:12,,,,,,,
13,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),13,,aq1gnaq4eb4a8ew,-55.0,,,,,,,ct1gn7xfym2p7zn:13,,,,,,,
14,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),14,,aq1gnaq4eb4a8ey,-55.0,,,,,,,ct1gn7xfym2p7zn:14,,,,,,,
15,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),15,,aq1gnaq4eb5eejv,-55.0,,,,,,,ct1gn7xfym2p7zn:15,,,,,,,
16,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),16,,aq1gnaq4eb5eejx,-55.0,,,,,,,ct1gn7xfym2p7zn:16,,,,,,,
17,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),17,,aq1gnaq4eb5eejz,-55.0,,,,,,,ct1gn7xfym2p7zn:17,,,,,,,
18,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),18,,aq1gnaq4eb5eek3,-55.0,,,,,,,ct1gn7xfym2p7zn:18,,,,,,,
19,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),19,,aq1gnaq4eb6jmpx,-55.0,,,,,,,ct1gn7xfym2p7zn:19,,,,,,,
20,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),20,,aq1gnaq4eb6jmpz,-55.0,,,,,,,ct1gn7xfym2p7zn:20,,,,,,,
21,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),21,,aq1gnaq4eb6jmq3,-55.0,,,,,,,ct1gn7xfym2p7zn:21,,,,,,,
22,ct1gn7xfym2p7zn-IVTT-Plate,ct1gnak87my8p93,Container(ct1gn7xfym2p7zn-IVTT-Plate),22,,aq1gnaq4eb7pttx,-55.0,,,,,,,ct1gn7xfym2p7zn:22,,,,,,,
