,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A1,53860.139847340426,ct1gnb8q9putxcf,aq1gnbavs9z73gv,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:0,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
1,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A2,53566.24411889856,ct1gnb8q9putxcf,aq1gnbavsa5qv24,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:1,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
2,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A3,53840.37190845628,ct1gnb8q9putxcf,aq1gnbbh6rxcb23,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:2,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
3,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A4,53320.38437800576,ct1gnb8q9putxcf,aq1gnbbh6s3w4j9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:3,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
4,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A5,52883.55647931744,ct1gnb8q9putxcf,aq1gnbc5jfhg32v,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:4,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
5,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A6,52600.64630151479,ct1gnb8q9putxcf,aq1gnbc5jfq62py,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:5,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
6,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A7,53163.053905220506,ct1gnb8q9putxcf,aq1gnbcrw2n6qp9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:6,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
7,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A8,53901.4903628292,ct1gnb8q9putxcf,aq1gnbcrw2sqh7f,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:7,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
8,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A9,53865.802982575486,ct1gnb8q9putxcf,aq1gnbdd8eb2kdy,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:8,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
9,Row:0-ct1gnak87my8p93-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1510B0B8>,Row:0-ct1gnak87my8p93-ProteinActivity-Plate,A10,54311.84727035956,ct1gnb8q9putxcf,aq1gnbdd8egqk33,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gn7xfym2p7zn:9,0.1607843137254902,d13upk77xjhxy9,w13upjh4tzarks,2022-01-25T18:27:14.100-08:00,platereader,i1gnb8q9hnkuvv,{},[],,,,,,,False,2022-01-25T18:27:14.175-08:00,-1,494,512
