,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),0,IVTTReaction,aq1gp38qxcqnu63,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:0,,,,,,,
1,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),1,IVTTReaction,aq1gp38qxcrt2a6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,,,,
2,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),2,IVTTReaction,aq1gp38qxcrt2a9,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:2,,,,,,,
3,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),3,IVTTReaction,aq1gp38qxcsx8e7,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:3,,,,,,,
4,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),4,IVTTReaction,aq1gp38qxcsx8ea,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:4,,,,,,,
5,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),5,IVTTReaction,aq1gp38qxcu3ej8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:5,,,,,,,
6,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),6,IVTTReaction,aq1gp38qxcu3ejb,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:6,,,,,,,
7,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),7,IVTTReaction,aq1gp38qxcv7mp9,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:7,,,,,,,
8,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),8,IVTTReaction,aq1gp38qxcwbtt8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:8,,,,,,,
9,ct1gnyfvg5u2be6-IVTT-Plate,ct1gnyjyq5a9b2b,Container(ct1gnyfvg5u2be6-IVTT-Plate),9,IVTTReaction,aq1gp38qxcwbttb,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:9,,,,,,,
