,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[28 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x166F1370>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,396.1969845567946,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushkfm7ypw7,w13usgkcxn69t3,2022-02-01T15:39:05.706-08:00,platereader,i1gp3q6wpjemfv,{},[],,,,,,,False,2022-02-01T15:39:05.790-08:00,28,372,445,2022-02-01 15:39:05.790000-08:00,35
1,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15F11280>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,58427.75927119699,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.1607843137254902,d13ush9cmc59r9,w13usgkcxmkp89,2022-02-01T15:03:46.376-08:00,platereader,i1gp3q6wnrf9m6,{},[],,,,,,,False,2022-02-01T15:03:46.458-08:00,-1,494,512,2022-02-01 15:03:46.458000-08:00,0
2,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[54 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA4E68>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,421.0542389462241,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushvtza6a26,w13usgkcxnqvcj,2022-02-01T16:11:51.966-08:00,platereader,i1gp3q6wq8zcxg,{},[],,,,,,,False,2022-02-01T16:11:52.047-08:00,54,372,445,2022-02-01 16:11:52.047000-08:00,68
3,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[36 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA4D48>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,402.2603705358559,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushpbym6v2j,w13usgkcxnf3jy,2022-02-01T15:49:10.824-08:00,platereader,i1gp3q6wps8t93,{},[],,,,,,,False,2022-02-01T15:49:10.903-08:00,36,372,445,2022-02-01 15:49:10.903000-08:00,45
4,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[34 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA48B0>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,397.9512182024893,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushnmngb42y,w13usgkcxnap75,2022-02-01T15:46:39.648-08:00,platereader,i1gp3q6wppydyz,{},[],,,,,,,False,2022-02-01T15:46:39.727-08:00,34,372,445,2022-02-01 15:46:39.727000-08:00,42
5,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[38 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA4418>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,398.23019768676727,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushq3bx8sbb,w13usgkcxnf3k4,2022-02-01T15:51:42.262-08:00,platereader,i1gp3q6wptczd4,{},[],,,,,,,False,2022-02-01T15:51:42.342-08:00,38,372,445,2022-02-01 15:51:42.342000-08:00,47
6,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[58 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA4F28>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,425.1323841423294,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushx9peyyfv,w13usgkcxnv9rh,2022-02-01T16:16:54.517-08:00,platereader,i1gp3q6wqcdybk,{},[],,,,,,,False,2022-02-01T16:16:54.597-08:00,58,372,445,2022-02-01 16:16:54.597000-08:00,73
7,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[60 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA41D8>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,430.3275906111453,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushxz2zpnau,w13usgkcxnv9rn,2022-02-01T16:19:26.008-08:00,platereader,i1gp3q6wqepckn,{},[],,,,,,,False,2022-02-01T16:19:26.086-08:00,60,372,445,2022-02-01 16:19:26.086000-08:00,75
8,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA40E8>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,373.9229435906347,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13usha3zj5ass,w13usgkcxmkp8d,2022-02-01T15:06:18.004-08:00,platereader,i1gp3q6wntqnv8,{},[],,,,,,,False,2022-02-01T15:06:18.345-08:00,2,372,445,2022-02-01 15:06:18.345000-08:00,2
9,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,ct1gp3q6wt4jt3z,Container(Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate),73,ProteinActivityReaction,aq1gp3tgeru7ryg,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gnyfvg5u2be6:1,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16CA4100>,Row:0-ct1gnyjyq5a9b2b-ProteinActivity-Plate,G2,379.5427186867029,ct1gp3q6wt4jt3z,ProteinActivityReaction,100.0,0.2509803921568627,d13ushcyd9epa3,w13usgkcxmvfzg,2022-02-01T15:16:23.194-08:00,platereader,i1gp3q6wp2hune,{},[],,,,,,,False,2022-02-01T15:16:23.275-08:00,10,372,445,2022-02-01 15:16:23.275000-08:00,12
