,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),0,IVTTReaction,aq1gpdgcs59rx33,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:0,,,,,,,
1,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),1,IVTTReaction,aq1gpdgcs5aw575,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:1,,,,,,,
2,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),2,IVTTReaction,aq1gpdgcs5aw578,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:2,,,,,,,
3,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),3,IVTTReaction,aq1gpdgcs5c2bb6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:3,,,,,,,
4,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),4,IVTTReaction,aq1gpdgcs5c2bb9,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,,,,
5,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),5,IVTTReaction,aq1gpdgcs5d6hf8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:5,,,,,,,
6,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),6,IVTTReaction,aq1gpdgcs5d6hfb,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:6,,,,,,,
7,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),7,IVTTReaction,aq1gpdgcs5eaqk9,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:7,,,,,,,
8,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),8,IVTTReaction,aq1gpdgcs5eaqkc,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:8,,,,,,,
9,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),9,IVTTReaction,aq1gpdgcs5fewqa,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:9,,,,,,,
10,ct1gpaqbw2c9cs7-IVTT-Plate,ct1gpau7znmh2vv,Container(ct1gpaqbw2c9cs7-IVTT-Plate),10,IVTTReaction,aq1gpdgcs5fewqd,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:10,,,,,,,
