,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14FD1028>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,516.2798785001345,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttmupn49zw,w13utswdjaqh5c,2022-02-04T16:01:59.086-08:00,platereader,i1gpdxjdq2s4pe,{},[],,,,,,,False,2022-02-04T16:02:18.211-08:00,4,372,445,2022-02-04 16:02:18.211000-08:00,5
1,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[36 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14FD1268>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,1098.091117730429,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttzdz39dsd,w13utswdjb5qar,2022-02-04T16:42:25.200-08:00,platereader,i1gpdxjdqy62x8,{},[],,,,,,,False,2022-02-04T16:42:25.277-08:00,36,372,445,2022-02-04 16:42:25.277000-08:00,45
2,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D66DC0>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,585.9603915742558,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttpamf8anc,w13utswdjaqh5m,2022-02-04T16:07:03.305-08:00,platereader,i1gpdxjdq66q3h,{},[],,,,,,,False,2022-02-04T16:07:03.387-08:00,8,372,445,2022-02-04 16:07:03.387000-08:00,10
3,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D66598>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,622.0391811242058,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttq23qyepg,w13utswdjaqh5r,2022-02-04T16:09:35.389-08:00,platereader,i1gpdxjdq8f4bk,{},[],,,,,,,False,2022-02-04T16:09:35.470-08:00,10,372,445,2022-02-04 16:09:35.470000-08:00,12
4,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D66D78>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,734.8206399868166,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13utts7bzft93,w13utswdjauwhj,2022-02-04T16:17:10.860-08:00,platereader,i1gpdxjdqcyvuq,{},[],,,,,,,False,2022-02-04T16:17:10.947-08:00,16,372,445,2022-02-04 16:17:10.947000-08:00,20
5,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D66CE8>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,661.9949099877177,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttqrjryaaz,w13utswdjaqh5v,2022-02-04T16:12:07.636-08:00,platereader,i1gpdxjdq9kafm,{},[],,,,,,,False,2022-02-04T16:12:07.715-08:00,12,372,445,2022-02-04 16:12:07.715000-08:00,15
6,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[40 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D664C0>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,1166.11456197828,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13utu2up9h45d,w13utswdjb5qaz,2022-02-04T16:47:27.760-08:00,platereader,i1gpdxjdr3jnbb,{},[],,,,,,,False,2022-02-04T16:47:27.843-08:00,40,372,445,2022-02-04 16:47:27.843000-08:00,50
7,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D3E520>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,1292.5932654594376,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13utu4zrjneqf,w13utswdjba4pv,2022-02-04T16:55:01.927-08:00,platereader,i1gpdxjdr84euf,{},[],,,,,,,False,2022-02-04T16:55:02.005-08:00,46,372,445,2022-02-04 16:55:02.005000-08:00,58
8,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[44 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D3E4C0>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,1241.586536097935,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13utu4ad3x647,w13utswdjb5qb9,2022-02-04T16:52:30.455-08:00,platereader,i1gpdxjdr6y8qe,{},[],,,,,,,False,2022-02-04T16:52:30.534-08:00,44,372,445,2022-02-04 16:52:30.534000-08:00,55
9,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,ct1gpdxjdu2hnux,Container(Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gpe99vwv3rg9,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpaqbw2c9cs7:4,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15D3E418>,Row:0-ct1gpau7znmh2vv-ProteinActivity-Plate,G5,699.7742864892504,ct1gpdxjdu2hnux,ProteinActivityReaction,100.0,0.2509803921568627,d13uttrfzba9hr,w13utswdjaqh5z,2022-02-04T16:14:39.562-08:00,platereader,i1gpdxjdqbupqp,{},[],,,,,,,False,2022-02-04T16:14:39.644-08:00,14,372,445,2022-02-04 16:14:39.644000-08:00,17
