,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),0,IVTTReaction,aq1gpxnchhjwrgj,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:0,,,,,,,
1,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),1,IVTTReaction,aq1gpxnchhjwrgn,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:1,,,,,,,
2,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),2,IVTTReaction,aq1gpxnchhm2xmm,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:2,,,,,,,
3,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),3,IVTTReaction,aq1gpxnchhm2xmq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:3,,,,,,,
4,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),4,IVTTReaction,aq1gpxnchhn75rn,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:4,,,,,,,
5,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),5,IVTTReaction,aq1gpxnchhn75rr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:5,,,,,,,
6,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),6,IVTTReaction,aq1gpxnchhpbbvq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:6,,,,,,,
7,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),7,IVTTReaction,aq1gpxnchhpbbvt,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:7,,,,,,,
8,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),8,IVTTReaction,aq1gpxnchhqfhzr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:8,,,,,,,
9,ct1gpuwnknd35rr-IVTT-Plate,ct1gpv2vgn4jq8m,Container(ct1gpuwnknd35rr-IVTT-Plate),9,IVTTReaction,aq1gpxnchhrkr5q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gpuwnknd35rr:9,,,,,,,
