,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,ProteinSubstrate-Provisions-Tube,ct1gqmqwkx5b9wr,Container(ProteinSubstrate-Provisions-Tube),0,,aq1gqmvgs4hxbze,200.0,,,,,,,,,,,,,,
1,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),0,,aq1gqmx6d262f6w,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:0,,,,,,
2,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),1,,aq1gqmx6d262f6y,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:1,,,,,,
3,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),2,,aq1gqmx6d262f72,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:2,,,,,,
4,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),3,,aq1gqmx6d276nay,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:3,,,,,,
5,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),4,,aq1gqmx6d276nb2,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:4,,,,,,
6,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),5,,aq1gqmx6d276nb4,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:5,,,,,,
7,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),6,,aq1gqmx6d28auey,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:6,,,,,,
8,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),7,,aq1gqmx6d28auf2,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:7,,,,,,
9,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),8,,aq1gqmx6d28auf4,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:8,,,,,,
10,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),9,,aq1gqmx6d28auf6,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:9,,,,,,
11,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),10,,aq1gqmx6d29f2k2,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:10,,,,,,
12,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),11,,aq1gqmx6d29f2k4,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:11,,,,,,
13,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),24,,aq1gqmx6d2bqeu6,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:0,,,,,,
14,Row:0-ct1gqm8jpspq6qc-High-IncubationPlate,ct1gqmqwkxtw2dc,Container(Row:0-ct1gqm8jpspq6qc-High-IncubationPlate),25,,aq1gqmx6d2bqeu8,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqhsrvpjd9pb:1,,,,,,
