,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),0,,aq1gqupe9wr3bff,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:0,,,,,,
1,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),1,,aq1gqupe9ws7hkh,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:1,,,,,,
2,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),2,,aq1gqupe9ws7hkk,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:2,,,,,,
3,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),3,,aq1gqupe9ws7hkn,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:3,,,,,,
4,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),4,,aq1gqupe9wtbqqj,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:4,,,,,,
5,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),5,,aq1gqupe9wtbqqm,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:5,,,,,,
6,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),6,,aq1gqupe9wtbqqp,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:6,,,,,,
7,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),7,,aq1gqupe9wufwuj,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:7,,,,,,
8,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),8,,aq1gqupe9wufwum,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:8,,,,,,
9,Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate,ct1gqufsu7cdpbz,Container(Row:0-ct1gqrg7erfgtne-Incubated-IVTT-Storage-Plate),9,,aq1gqupe9wufwup,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,,,,,,
