,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[50 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x158ACF88>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,1055.658533784698,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcuk9k57c4,w13uzbkn675ck3,2022-02-17T15:19:02.653-08:00,platereader,i1gqufsu2cysnm,[],,,False,,,,,False,2022-02-17T15:19:02.732-08:00,50,372,445,2022-02-17 23:19:02.732,63
1,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15DA0E98>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,1077.9773696341479,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcvamddwms,w13uzbkn675ck7,2022-02-17T15:21:33.980-08:00,platereader,i1gqufsu2f96wp,[],,,False,,,,,False,2022-02-17T15:21:34.059-08:00,52,372,445,2022-02-17 23:21:34.059,65
2,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[54 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3718>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,1113.8478052599112,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcvzyrm22k,w13uzbkn675ckb,2022-02-17T15:24:05.426-08:00,platereader,i1gqufsu2jnsas,[],,,False,,,,,False,2022-02-17T15:24:05.506-08:00,54,372,445,2022-02-17 23:24:05.506,68
3,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3958>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,1136.5153493812907,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcwrbhbbzu,w13uzbkn675ckf,2022-02-17T15:26:36.742-08:00,platereader,i1gqufsu2mx6ju,[],,,False,,,,,False,2022-02-17T15:26:36.821-08:00,56,372,445,2022-02-17 23:26:36.821,70
4,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[60 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D31F0>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,1185.890425085916,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcy73exbgc,w13uzbkn675ckq,2022-02-17T15:31:39.678-08:00,platereader,i1gqufsu2sfy3y,[],,,False,,,,,False,2022-02-17T15:31:39.756-08:00,60,372,445,2022-02-17 23:31:39.756,75
5,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3190>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,493.32474150275686,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcceqxj8rn,w13uzbkn66yy5m,2022-02-17T14:26:03.368-08:00,platereader,i1gqufstymgae3,[],,,False,,,,,False,2022-02-17T14:26:03.448-08:00,8,372,445,2022-02-17 22:26:03.448,10
6,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3AF0>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,52205.51191869414,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.1607843137254902,d13uzc9jasu6kc,w13uzbkn66yy54,2022-02-17T14:15:57.865-08:00,platereader,i1gqufsty6uwup,[],,,False,,,,,False,2022-02-17T14:15:57.956-08:00,-1,494,512,2022-02-17 22:15:57.956,0
7,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D33D0>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,413.6831692204948,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzca9pr284s,w13uzbkn66yy58,2022-02-17T14:18:29.439-08:00,platereader,i1gqufstya9h8s,[],,,False,,,,,False,2022-02-17T14:18:29.516-08:00,2,372,445,2022-02-17 22:18:29.516,2
8,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3B08>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,432.2081825000032,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcaz2dh6nu,w13uzbkn66yy5c,2022-02-17T14:21:00.732-08:00,platereader,i1gqufstydp4mv,[],,,False,,,,,False,2022-02-17T14:21:00.815-08:00,4,372,445,2022-02-17 22:21:00.815,5
9,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,ct1gqufsu75kgjt,Container(Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate),81,ProteinActivityReaction,aq1gqummbeyve3b,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gqrd369wzuxg:9,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164D3BC8>,Row:0-ct1gqrg7erfgtne-ProteinActivity-Plate,G10,467.38724325765503,ct1gqufsu75kgjt,ProteinActivityReaction,100.0,0.25098039215686274,d13uzcbqcqm53q,w13uzbkn66yy5g,2022-02-17T14:23:31.952-08:00,platereader,i1gqufstyh3pzy,[],,,False,,,,,False,2022-02-17T14:23:32.035-08:00,6,372,445,2022-02-17 22:23:32.035,7
