,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),0,,aq1gt74ryuwysnb,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:0,,,,,,
1,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),1,,aq1gt74ryuy4ysd,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:1,,,,,,
2,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),2,,aq1gt74ryuy4ysf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,,,,,,
3,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),3,,aq1gt74ryuz96wd,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:3,,,,,,
4,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),4,,aq1gt74ryuz96wf,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:4,,,,,,
5,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),5,,aq1gt74ryuz96wh,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:5,,,,,,
6,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),6,,aq1gt74ryv2dd2e,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:6,,,,,,
7,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),7,,aq1gt74ryv2dd2g,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:7,,,,,,
8,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),8,,aq1gt74ryv2dd2j,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:8,,,,,,
9,Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate,ct1gt6v2b7v3dtj,Container(Row:0-ct1gt6bhcnm4fbq-Incubated-IVTT-Storage-Plate),9,,aq1gt74ryv2dd2m,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:9,,,,,,
