,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164601C0>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,336.14219875583154,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae2vtm2huu,w13vad8vr75vdh,2022-03-10T17:47:18.561-08:00,platereader,i1gt6v2b3u6ngz,[],,,False,,,,,False,2022-03-10T17:47:18.636-08:00,10,372,445,2022-03-11 01:47:18.636,12
1,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1666DB80>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,52550.13375281033,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.1607843137254902,d13vadx9z9rmte,w13vad8vr75vcv,2022-03-10T17:34:41.435-08:00,platereader,i1gt6v2b3gxvbq,[],,,False,,,,,False,2022-03-10T17:34:41.512-08:00,-1,494,512,2022-03-11 01:34:41.512,0
2,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0F748>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,329.1556726329408,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vadxzc5r5sn,w13vad8vr75vcz,2022-03-10T17:37:12.774-08:00,platereader,i1gt6v2b3k89ks,[],,,False,,,,,False,2022-03-10T17:37:12.961-08:00,2,372,445,2022-03-11 01:37:12.961,2
3,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0FBC8>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,337.16180197586067,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vadzf2wakvd,w13vad8vr75vd9,2022-03-10T17:42:15.455-08:00,platereader,i1gt6v2b3qs34w,[],,,False,,,,,False,2022-03-10T17:42:15.528-08:00,6,372,445,2022-03-11 01:42:15.528,7
4,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0FD78>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,329.58555946829273,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vadyqqa9ftd,w13vad8vr75vd5,2022-03-10T17:39:44.172-08:00,platereader,i1gt6v2b3ngnuu,[],,,False,,,,,False,2022-03-10T17:39:44.248-08:00,4,372,445,2022-03-11 01:39:44.248,5
5,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0F6D0>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,333.47479925538505,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae26fngtua,w13vad8vr75vdd,2022-03-10T17:44:47.205-08:00,platereader,i1gt6v2b3rw98x,[],,,False,,,,,False,2022-03-10T17:44:47.281-08:00,8,372,445,2022-03-11 01:44:47.281,10
6,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0F7C0>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,339.9693779594213,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae3m6bcpgk,w13vad8vr7a9rt,2022-03-10T17:49:49.868-08:00,platereader,i1gt6v2b3vaun2,[],,,False,,,,,False,2022-03-10T17:49:49.943-08:00,12,372,445,2022-03-11 01:49:49.943,15
7,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0F2C8>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,345.654103480848,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae4bgfsn9a,w13vad8vr7a9rx,2022-03-10T17:52:21.047-08:00,platereader,i1gt6v2b3xk8w4,[],,,False,,,,,False,2022-03-10T17:52:21.121-08:00,14,372,445,2022-03-11 01:52:21.121,17
8,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0F778>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,351.54894523827016,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae52upey5y,w13vad8vr7a9s3,2022-03-10T17:54:52.461-08:00,platereader,i1gt6v2b3yqf25,[],,,False,,,,,False,2022-03-10T17:54:52.537-08:00,16,372,445,2022-03-11 01:54:52.537,20
9,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,ct1gt6v2b7qhmae,Container(Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate),74,ProteinActivityReaction,aq1gt6yf37xtjnk,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gt2z8nzbenyr:2,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate-Read[18 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D0FEB0>,Row:0-ct1gt6bhcnm4fbq-ProteinActivity-Plate,G3,350.578454197446,ct1gt6v2b7qhmae,ProteinActivityReaction,100.0,0.25098039215686274,d13vae5s6rvbev,w13vad8vr7a9s7,2022-03-10T17:57:23.627-08:00,platereader,i1gt6v2b42yua7,[],,,False,,,,,False,2022-03-10T17:57:23.700-08:00,18,372,445,2022-03-11 01:57:23.700,22
