,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),0,,aq1guktcxpv3f4e,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:0,,,,,,
1,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),1,,aq1guktcxpw7n8f,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:1,,,,,,
2,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),2,,aq1guktcxpw7n8h,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:2,,,,,,
3,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),3,,aq1guktcxpw7n8k,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:3,,,,,,
4,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),4,,aq1guktcxpxbucg,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:4,,,,,,
5,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),5,,aq1guktcxpxbucj,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:5,,,,,,
6,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),6,,aq1guktcxpxbucm,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:6,,,,,,
7,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),7,,aq1guktcxpyg2gh,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:7,,,,,,
8,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),8,,aq1guktcxpyg2gk,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:8,,,,,,
9,Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate,ct1guh3fhc4meua,Container(Row:0-ct1gugk3q79ebkj-Incubated-IVTT-Storage-Plate),9,,aq1guktcxpyg2gn,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gugfy7wenjgg:9,,,,,,
