,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),0,,aq1gwtxy9fxej7s,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:0,,,,,,
1,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),1,,aq1gwtxy9fyjrbu,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:1,,,,,,
2,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),2,,aq1gwtxy9fyjrbw,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:2,,,,,,
3,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),3,,aq1gwtxy9fyjrby,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:3,,,,,,
4,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),4,,aq1gwtxy9fzpxfu,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:4,,,,,,
5,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),5,,aq1gwtxy9fzpxfw,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:5,,,,,,
6,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),6,,aq1gwtxy9fzpxfy,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:6,,,,,,
7,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),7,,aq1gwtxy9fzpxg2,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:7,,,,,,
8,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),8,,aq1gwtxy9g2u5kw,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:8,,,,,,
9,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),9,,aq1gwtxy9g2u5ky,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:9,,,,,,
10,Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate,ct1gwtkyt5nrj5t,Container(Row:0-ct1gwqcu8tguc8j-Incubated-IVTT-Storage-Plate),10,,aq1gwtxy9g2u5m2,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:10,,,,,,
