,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A1,246.14374746174443,ct1gwtkyt599cqf,aq1gwtshhy5y4gs,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:0,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
1,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A2,345.47724511730377,ct1gwtkyt599cqf,aq1gwtshhyagw22,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:1,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
2,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A3,348.3101626526584,ct1gwtkyt599cqf,aq1gwtt5x47wmdf,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:2,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
3,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A4,287.1832239174202,ct1gwtkyt599cqf,aq1gwtt5x4cfdwp,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:3,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
4,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A5,276.541109043797,ct1gwtkyt599cqf,aq1gwttsb48ycyh,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:4,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
5,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A6,271.0445647915131,ct1gwtkyt599cqf,aq1gwttsb4dh6gp,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:5,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
6,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A7,323.2060300937965,ct1gwtkyt599cqf,aq1gwtudp8dmz3x,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:6,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
7,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A8,264.53197656240934,ct1gwtkyt599cqf,aq1gwtudp8kayr2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:7,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
8,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A9,288.4354433980002,ct1gwtkyt599cqf,aq1gwtuzzrnek3n,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:8,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
9,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14ACF1F0>,Row:0-ct1gwqcu8tguc8j-ProteinActivity-Plate,A10,286.45895950298507,ct1gwtkyt599cqf,aq1gwtuzzrsyckv,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gwq7zwpj26nu:9,0.25098039215686274,d13vrhfeqscjen,w13vrgfbbhkr7m,2022-04-12T17:24:09.356-07:00,platereader,i1gwtkyswct79d,[],,,False,,,,,False,2022-04-12T17:24:09.435-07:00,20,372,445
