,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),0,,aq1gx5y96rsrhwx,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:0,,,,,,
1,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),1,,aq1gx5y96rsrhwz,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:1,,,,,,
2,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),2,,aq1gx5y96rtvr2z,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:2,,,,,,
3,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),3,,aq1gx5y96rtvr33,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:3,,,,,,
4,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),4,,aq1gx5y96rtvr35,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:4,,,,,,
5,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),5,,aq1gx5y96ruzx6z,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:5,,,,,,
6,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),6,,aq1gx5y96ruzx73,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:6,,,,,,
7,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),7,,aq1gx5y96ruzx75,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:7,,,,,,
8,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),8,,aq1gx5y96ruzx77,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:8,,,,,,
9,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),9,,aq1gx5y96rw65b3,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:9,,,,,,
10,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),10,,aq1gx5y96rw65b5,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:10,,,,,,
11,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),11,,aq1gx5y96rw65b7,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:11,,,,,,
12,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),12,,aq1gx5yaxw493ad,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:0,,,,,,
13,Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate,ct1gx5qr8yc9zmz,Container(Row:0-ct1gx2kypvec6db-Incubated-IVTT-Storage-Plate),13,,aq1gx5yaxw5d9ef,30.0,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:1,,,,,,
