,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A1,362.5203884678998,ct1gx5qr8xvhexk,aq1gx5tbpejyme7,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:0,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
1,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A2,310.19626087816175,ct1gx5qr8xvhexk,aq1gx5tbpernm3c,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:1,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
2,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A3,372.25327780005273,ct1gx5qr8xvhexk,aq1gx5ty2p8n7zp,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:2,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
3,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A4,298.8612885961343,ct1gx5qr8xvhexk,aq1gx5ty2pd6zhv,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:3,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
4,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A5,310.0626878864603,ct1gx5qr8xvhexk,aq1gx5uken4cner,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:4,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
5,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A6,301.45229484591613,ct1gx5qr8xvhexk,aq1gx5uken8wexy,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:5,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
6,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A7,410.8868788623349,ct1gx5qr8xvhexk,aq1gx5v7rsr8j7b,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:6,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
7,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A8,304.5294222561041,ct1gx5qr8xvhexk,aq1gx5v7rt2b58k,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:7,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
8,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A9,305.15013084001635,ct1gx5qr8xvhexk,aq1gx5vu3v6yk5y,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:8,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
9,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A10,361.5202332604032,ct1gx5qr8xvhexk,aq1gx5vu3vcnjt3,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:9,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
10,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A11,299.51109751825214,ct1gx5qr8xvhexk,aq1gx5wfdxpyzch,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:10,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
11,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,A12,327.13174280464517,ct1gx5qr8xvhexk,aq1gx5wfdxvnyzn,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:11,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
12,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B1,339.10748382943297,ct1gx5qr8xvhexk,aq1gx5tbpem4tj8,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:0,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
13,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B2,304.4065556016175,ct1gx5qr8xvhexk,aq1gx5tbpernm3f,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:1,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
14,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B3,348.03367196788747,ct1gx5qr8xvhexk,aq1gx5ty2p8n7zs,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:2,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
15,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B4,304.1014325446598,ct1gx5qr8xvhexk,aq1gx5ty2peb7nu,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:3,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
16,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B5,310.00398934004903,ct1gx5qr8xvhexk,aq1gx5uken4cneu,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:4,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
17,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B6,301.0604360656787,ct1gx5qr8xvhexk,aq1gx5ukena2n3w,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:5,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
18,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B7,301.853152883546,ct1gx5qr8xvhexk,aq1gx5v7rsscrbb,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:6,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
19,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B8,301.07782590311143,ct1gx5qr8xvhexk,aq1gx5v7rt3fbck,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:7,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
20,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B9,296.68447653932253,ct1gx5qr8xvhexk,aq1gx5vu3v84s9w,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:8,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
21,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B10,331.68655566140336,ct1gx5qr8xvhexk,aq1gx5vu3vdsrx2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:9,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
22,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B11,295.9352576247196,ct1gx5qr8xvhexk,aq1gx5wfdxr57gg,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:10,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
23,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,B12,310.9915317708723,ct1gx5qr8xvhexk,aq1gx5wh6cf3qm2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,71.6:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:11,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
24,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,C1,321.9339176148502,ct1gx5qr8xvhexk,aq1gx5tbpem4tjb,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:0,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
25,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,C2,291.99544603347715,ct1gx5qr8xvhexk,aq1gx5tbpesst7d,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:1,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
26,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,C3,337.4586562217513,ct1gx5qr8xvhexk,aq1gx5ty2p9se5r,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:2,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
27,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x165EE598>,Row:0-ct1gx2kypvec6db-ProteinActivity-Plate,C4,293.2425979432773,ct1gx5qr8xvhexk,aq1gx5ty2peb7nx,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,62.8:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gx2gbkgzm9zq:3,0.25098039215686274,d13vssmyb95r4f,w13vsrb7j32b2w,2022-04-15T16:13:05.899-07:00,platereader,i1gx5qr8rgy2ay,[],,,False,,,,,False,2022-04-15T16:13:05.978-07:00,52,372,445
