,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),0,IVTTReaction,aq1gyfbjtjkrgax,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:0,,,,,,,
1,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),1,IVTTReaction,aq1gyfbjtjkrgb2,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:1,,,,,,,
2,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),2,IVTTReaction,aq1gyfbjtjmvpf2,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:2,,,,,,,
3,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),3,IVTTReaction,aq1gyfbjtjmvpf5,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:3,,,,,,,
4,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),4,IVTTReaction,aq1gyfbjtjnzvk3,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:4,,,,,,,
5,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),5,IVTTReaction,aq1gyfbjtjnzvk6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:5,,,,,,,
6,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),6,IVTTReaction,aq1gyfbjtjq63q4,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:6,,,,,,,
7,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),7,IVTTReaction,aq1gyfbjtjra9u3,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:7,,,,,,,
8,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),8,IVTTReaction,aq1gyfbjtjra9u6,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:8,,,,,,,
9,ct1gycjgmjqe97e-IVTT-Plate,ct1gycpdv29m7ec,Container(ct1gycjgmjqe97e-IVTT-Plate),9,IVTTReaction,aq1gyfbjtjsefy5,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:9,,,,,,,
