,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A1,284.6295287324973,ct1gyfsw3pbt2fk,aq1gyg3vb4647y9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:0,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
1,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A2,329.6044889095366,ct1gyfsw3pbt2fk,aq1gyg3vb4bs7mf,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:1,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
2,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A3,311.9634631390012,ct1gyfsw3pbt2fk,aq1gyg4gs7w3qw9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:2,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
3,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A4,302.4726521536538,ct1gyfsw3pbt2fk,aq1gyg4gs83rqjc,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:3,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
4,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A5,448.6376292207992,ct1gyfsw3pbt2fk,aq1gyg558749qq8,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:4,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
5,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A6,294.68430342790833,ct1gyfsw3pbt2fk,aq1gyg55879xqcb,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:5,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
6,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A7,298.0793810120724,ct1gyfsw3pbt2fk,aq1gyg5rn75zyfk,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:6,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
7,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A8,405.078449456666,ct1gyfsw3pbt2fk,aq1gyg5rn7bpy4q,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:7,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
8,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A9,319.02427392205993,ct1gyfsw3pbt2fk,aq1gyg6d2psryff,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:8,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
9,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x168EA958>,Row:0-ct1gycpdv29m7ec-ProteinActivity-Plate,A10,314.0049972525018,ct1gyfsw3pbt2fk,aq1gyg6d2pyey4k,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gycjgmjqe97e:9,0.2509803921568627,d13vxxhfc68y8z,w13vxw86d8fuhq,2022-04-27T17:12:54.800-07:00,platereader,i1gyfsw3gh9ksf,{},[],,,,,,,False,2022-04-27T17:12:54.880-07:00,46,372,445
