,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A1,321.017350572978,ct1gypnupsxvvtc,aq1gypquyhkzvfw,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:0,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
1,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A2,322.5625773293304,ct1gypnupsxvvtc,aq1gypquyhrjnz4,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:1,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
2,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A3,521.1768169109677,ct1gypnupsxvvtc,aq1gyprggxnndnn,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:2,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
3,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A4,327.21465000337656,ct1gypnupsxvvtc,aq1gyprggxt776s,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:3,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
4,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A5,337.90743587711654,ct1gypnupsxvvtc,aq1gyps4zwstse5,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:4,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
5,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A6,340.3161165913527,ct1gypnupsxvvtc,aq1gyps4zwxcjxc,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:5,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
6,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A7,336.34772134455307,ct1gypnupsxvvtc,aq1gypsrh5mvdf6,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:6,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
7,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A8,328.0665854085203,ct1gypnupsxvvtc,aq1gypsrh5tjd49,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:7,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
8,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A9,347.7192595630103,ct1gypnupsxvvtc,aq1gyptcyd2dpd9,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:8,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
9,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x169BA958>,Row:0-ct1gykfzkknv5wm-ProteinActivity-Plate,A10,332.84747731205266,ct1gypnupsxvvtc,aq1gyptcyd6xfwh,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gyka66vmagqk:9,0.2509803921568627,d13vyrran45zra,w13vyqz789hr7f,2022-04-29T14:48:08.283-07:00,platereader,i1gypnupj8b6cj,{},[],,,,,,,False,2022-04-29T14:48:08.375-07:00,4,372,445
