,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind
0,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),0,,aq1gz96zmapepu6,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:0,,,,,,
1,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),1,,aq1gz96zmaqjvy8,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:1,,,,,,
2,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),2,,aq1gz96zmaqjvya,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:2,,,,,,
3,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),3,,aq1gz96zmaqjvyc,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:3,,,,,,
4,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),4,,aq1gz96zmarq449,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,,,,,,
5,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),5,,aq1gz96zmarq44b,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:5,,,,,,
6,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),6,,aq1gz96zmarq44d,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:6,,,,,,
7,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),7,,aq1gz96zmasua89,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:7,,,,,,
8,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),8,,aq1gz96zmasua8b,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:8,,,,,,
9,Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate,ct1gz8w9evd2b84,Container(Row:0-ct1gz8dwxgk4xfv-Incubated-IVTT-Storage-Plate),9,,aq1gz96zmasua8d,30.0,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:9,,,,,,
