,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Dataattachments,Datatitle,Datadeleted_at,Datadeletion_requested,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[40 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x164A8598>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,269.63070535993296,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x6whubmaa,w13w2vxvzfce46,2022-05-04T16:41:56.812-07:00,platereader,i1gz8w9enp95e7,[],,,False,,,,,False,2022-05-04T16:41:56.904-07:00,40,372,445,2022-05-04 23:41:56.904,50
1,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[34 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1695BB98>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,267.33447380341056,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x4ray95nt,w13w2vxvzf7zry,2022-05-04T16:34:21.647-07:00,platereader,i1gz8w9enfexmz,[],,,False,,,,,False,2022-05-04T16:34:21.729-07:00,34,372,445,2022-05-04 23:34:21.729,42
2,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[36 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16E1CDC0>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,263.3745469758543,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x5fr4hbvp,w13w2vxvzf7zs4,2022-05-04T16:36:53.481-07:00,platereader,i1gz8w9enhqbw3,[],,,False,,,,,False,2022-05-04T16:36:53.567-07:00,36,372,445,2022-05-04 23:36:53.567,45
3,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[38 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16E1C610>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,269.03408809685976,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x6759d6t6,w13w2vxvzfce42,2022-05-04T16:39:25.100-07:00,platereader,i1gz8w9enkyr65,[],,,False,,,,,False,2022-05-04T16:39:25.186-07:00,38,372,445,2022-05-04 23:39:25.186,47
4,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[42 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16E1CD90>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,268.74100044306925,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x7mx8eu6c,w13w2vxvzfce4a,2022-05-04T16:44:28.484-07:00,platereader,i1gz8w9enrhhp9,[],,,False,,,,,False,2022-05-04T16:44:28.568-07:00,42,372,445,2022-05-04 23:44:28.568,53
5,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[44 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16E1C5F8>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,272.9833206407524,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x8cbhqvsm,w13w2vxvzfce4e,2022-05-04T16:47:00.134-07:00,platereader,i1gz8w9entswxb,[],,,False,,,,,False,2022-05-04T16:47:00.224-07:00,44,372,445,2022-05-04 23:47:00.224,55
6,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[46 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D52C10>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,271.8289057671743,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x93qxtwdk,w13w2vxvzfce4j,2022-05-04T16:49:31.812-07:00,platereader,i1gz8w9enw3b7d,[],,,False,,,,,False,2022-05-04T16:49:31.898-07:00,46,372,445,2022-05-04 23:49:31.898,58
7,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[48 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D52BF8>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,273.7633363736924,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2x9t47g226,w13w2vxvzfce4p,2022-05-04T16:52:03.234-07:00,platereader,i1gz8w9enybqff,[],,,False,,,,,False,2022-05-04T16:52:03.324-07:00,48,372,445,2022-05-04 23:52:03.324,60
8,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[50 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D52AF0>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,273.465699017497,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2xahgtdepe,w13w2vxvzfce4t,2022-05-04T16:54:34.953-07:00,platereader,i1gz8w9ep2m4qh,[],,,False,,,,,False,2022-05-04T16:54:35.040-07:00,50,372,445,2022-05-04 23:54:35.040,63
9,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,ct1gz8w9euzpbws,Container(Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate),76,ProteinActivityReaction,aq1gz934cjy2hbx,100.0,32.5:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gz62avptkr7z:4,rs1fbyyzjd6ptbz,90:microliter,LigandMix,,,,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16D52640>,Row:0-ct1gz8dwxgk4xfv-ProteinActivity-Plate,G5,275.00023821486906,ct1gz8w9euzpbws,ProteinActivityReaction,100.0,0.25098039215686274,d13w2xb8v7exez,w13w2vxvzfce4x,2022-05-04T16:57:06.405-07:00,platereader,i1gz8w9ep4vgyk,[],,,False,,,,,False,2022-05-04T16:57:06.491-07:00,52,372,445,2022-05-04 23:57:06.491,65
