,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),0,IVTTReaction,aq1gzf88krp898n,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:0,,,,,,,
1,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),1,IVTTReaction,aq1gzf88krqcfcr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:1,,,,,,,
2,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),2,IVTTReaction,aq1gzf88krqcfcu,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:2,,,,,,,
3,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),3,IVTTReaction,aq1gzf88krrgngs,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:3,,,,,,,
4,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),4,IVTTReaction,aq1gzf88krsmumr,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:4,,,,,,,
5,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),5,IVTTReaction,aq1gzf88krsmumu,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,,,,
6,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),6,IVTTReaction,aq1gzf88krts2rs,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:6,,,,,,,
7,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),7,IVTTReaction,aq1gzf88krts2rv,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:7,,,,,,,
8,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),8,IVTTReaction,aq1gzf88kruw8vt,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:8,,,,,,,
9,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),9,IVTTReaction,aq1gzf88kruw8vw,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:9,,,,,,,
10,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),10,IVTTReaction,aq1gzf88krw2ezv,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:10,,,,,,,
11,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),11,IVTTReaction,aq1gzf88krw2ezy,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:11,,,,,,,
12,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),12,,aq1gzf8ce2qqm9g,-55.0,,,,,,,ct1gzcg45ksbgnn:12,,,,,,,
13,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),13,,aq1gzf8ce2qqm9j,-55.0,,,,,,,ct1gzcg45ksbgnn:13,,,,,,,
14,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),14,,aq1gzf8ce2rutde,-55.0,,,,,,,ct1gzcg45ksbgnn:14,,,,,,,
15,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),15,,aq1gzf8ce2rutdg,-55.0,,,,,,,ct1gzcg45ksbgnn:15,,,,,,,
16,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),16,,aq1gzf8ce2rutdj,-55.0,,,,,,,ct1gzcg45ksbgnn:16,,,,,,,
17,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),17,,aq1gzf8ce2syzhe,-55.0,,,,,,,ct1gzcg45ksbgnn:17,,,,,,,
18,ct1gzcg45ksbgnn-IVTT-Plate,ct1gzckw7md5mg7,Container(ct1gzcg45ksbgnn-IVTT-Plate),18,,aq1gzf8ce2syzhg,-55.0,,,,,,,ct1gzcg45ksbgnn:18,,,,,,,
