,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x153B90B8>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,53239.15410571894,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.1607843137254902,d13w3rw57ykh5r,w13w3r5n37y9e5,2022-05-06T15:10:56.013-07:00,platereader,i1gzfpbxu72aeg,{},[],,,,,,,False,2022-05-06T15:10:56.094-07:00,-1,494,512,2022-05-06 15:10:56.094000-07:00,0
1,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x153B9478>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,293.8533517210144,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3ryabggkkh,w13w3r5n37y9eh,2022-05-06T15:18:30.445-07:00,platereader,i1gzfpbxudug7p,{},[],,,,,,,False,2022-05-06T15:18:30.535-07:00,6,372,445,2022-05-06 15:18:30.535000-07:00,7
2,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16169760>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,285.63557019048534,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3rwukffzqw,w13w3r5n37y9e9,2022-05-06T15:13:27.485-07:00,platereader,i1gzfpbxu9appj,{},[],,,,,,,False,2022-05-06T15:13:27.577-07:00,2,372,445,2022-05-06 15:13:27.577000-07:00,2
3,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x161698B0>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,285.12532533967914,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3rxjxs8ann,w13w3r5n37y9ed,2022-05-06T15:15:58.920-07:00,platereader,i1gzfpbxubk3xm,{},[],,,,,,,False,2022-05-06T15:15:59.008-07:00,4,372,445,2022-05-06 15:15:59.008000-07:00,5
4,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x161697C0>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,302.04338184655666,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3ryzpuhg2e,w13w3r5n37y9en,2022-05-06T15:21:01.889-07:00,platereader,i1gzfpbxug4vfr,{},[],,,,,,,False,2022-05-06T15:21:01.974-07:00,8,372,445,2022-05-06 15:21:01.974000-07:00,10
5,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x161694D8>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,308.2476305081301,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3rzr468qu3,w13w3r5n37y9es,2022-05-06T15:23:33.544-07:00,platereader,i1gzfpbxujd9qt,{},[],,,,,,,False,2022-05-06T15:23:33.633-07:00,10,372,445,2022-05-06 15:23:33.633000-07:00,12
6,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16169280>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,313.35986383164067,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3s2fge8ccd,w13w3r5n37y9ew,2022-05-06T15:26:05.185-07:00,platereader,i1gzfpbxumnnyv,{},[],,,,,,,False,2022-05-06T15:26:05.271-07:00,12,372,445,2022-05-06 15:26:05.271000-07:00,15
7,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16169C70>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,337.27932779134625,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3s5c3ms4v9,w13w3r5n37y9fe,2022-05-06T15:36:11.793-07:00,platereader,i1gzfpbxuxvf66,{},[],,,,,,,False,2022-05-06T15:36:11.879-07:00,20,372,445,2022-05-06 15:36:11.879000-07:00,25
8,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16169958>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,320.4890314697446,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3s36wszrb4,w13w3r5n37y9f2,2022-05-06T15:28:37.072-07:00,platereader,i1gzfpbxupx38x,{},[],,,,,,,False,2022-05-06T15:28:37.160-07:00,14,372,445,2022-05-06 15:28:37.160000-07:00,17
9,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,ct1gzfpby3nnmy3,Container(Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate),77,ProteinActivityReaction,aq1gzftv7gugjub,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzcg45ksbgnn:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate-Read[16 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x16169220>,Row:0-ct1gzckw7md5mg7-ProteinActivity-Plate,G6,325.4258145386234,ct1gzfpby3nnmy3,ProteinActivityReaction,100.0,0.2509803921568627,d13w3s3wb5py9v,w13w3r5n37y9f6,2022-05-06T15:31:08.734-07:00,platereader,i1gzfpbxus7fgz,{},[],,,,,,,False,2022-05-06T15:31:08.817-07:00,16,372,445,2022-05-06 15:31:08.817000-07:00,20
