,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),0,IVTTReaction,aq1gzvw2cnexfng,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:0,,,,,,,
1,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),1,IVTTReaction,aq1gzvw2cng3nsk,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:1,,,,,,,
2,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),2,IVTTReaction,aq1gzvw2cnh7uwj,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:2,,,,,,,
3,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),3,IVTTReaction,aq1gzvw2cnh7uwn,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:3,,,,,,,
4,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),4,IVTTReaction,aq1gzvw2cnjc32m,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:4,,,,,,,
5,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),5,IVTTReaction,aq1gzvw2cnjc32q,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:5,,,,,,,
6,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),6,IVTTReaction,aq1gzvw2cnkg96n,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:6,,,,,,,
7,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),7,IVTTReaction,aq1gzvw2cnkg96r,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:7,,,,,,,
8,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),8,IVTTReaction,aq1gzvw2cnmmfaq,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:8,,,,,,,
9,ct1gzt9k74w5d9n-IVTT-Plate,ct1gztdvktp6kjf,Container(ct1gzt9k74w5d9n-IVTT-Plate),9,IVTTReaction,aq1gzvw2cnmmfat,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1gzt9k74w5d9n:9,,,,,,,
