,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,2X-Phusion-Hot-Start-Flex-Master-Mix:MasterMix,2X-Phusion-Hot-Start-Flex-Master-Mix:Volume,2X-Phusion-Hot-Start-Flex-Master-Mix:Kind,UWisc-GoldenGate-Primer-Mix:PrimerMix,GoldenGate-Forward-Primer:Primer,GoldenGate-Forward-Primer:Kind,GoldenGate-Reverse-Primer:Primer,GoldenGate-Reverse-Primer:Kind,source,destination,EVA-Green:DNADye,EVA-Green:Volume,EVA-Green:Kind,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),0,PCRAmplificationCheckReaction,aq1h2pzvvmqj6hy,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:0,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A1,43487.69199120454,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
1,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),1,PCRAmplificationCheckReaction,aq1h2pzvvmrpcp2,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:1,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A2,37610.5872895084,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
2,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),2,PCRAmplificationCheckReaction,aq1h2pzvvmrpcp5,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:2,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A3,36693.52786609536,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
3,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),3,PCRAmplificationCheckReaction,aq1h2pzvvmstjt4,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:3,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A4,34559.89456859751,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
4,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),4,PCRAmplificationCheckReaction,aq1h2pzvvmtxrx3,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:4,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A5,35458.50624490695,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
5,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),5,PCRAmplificationCheckReaction,aq1h2pzvvmtxrx6,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:5,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A6,38624.29748161812,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
6,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),6,PCRAmplificationCheckReaction,aq1h2pzvvmv3y34,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:6,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A7,38170.9053618898,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
7,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),7,PCRAmplificationCheckReaction,aq1h2pzvvmv3y37,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:7,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A8,36433.08717229592,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
8,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),8,PCRAmplificationCheckReaction,aq1h2pzvvmw8676,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:8,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A9,34615.488284164894,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
9,ct1h2pg3dy8ezm4-EVA-Green-Plate,ct1h2pwnerafy9p,Container(ct1h2pg3dy8ezm4-EVA-Green-Plate),9,PCRAmplificationCheckReaction,aq1h2pzvvmw8679,100.0,,,,,,,,,ct1h2pg3dy8ezm4-Diluted-PCR-Plate:9,,rs1f47u55gz8sc2,10:microliter,Reagent,rs1esgu7zf2ztkq,40:microliter,Reagent,ct1h2pg3dy8ezm4-EVA-Green-Plate_ex485:nanometer:em535:nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14DC7D30>,ct1h2pg3dy8ezm4-EVA-Green-Plate,A10,36104.305738860814,ct1h2pwnerafy9p,PCRAmplificationCheckReaction,100.0,0.2862745098039215,d13w8hmqkykpt5,w13w8hdynbzd8m,2022-05-17T18:12:13.621-07:00,platereader,i1h2pwnepswuxc,{},[],,,,,,,False,2022-05-17T18:12:13.695-07:00,-1,485,485
