,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),0,IVTTReaction,aq1h2skrtd35gcx,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:0,,,,,,,
1,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),1,IVTTReaction,aq1h2skrtd49ph2,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:1,,,,,,,
2,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),2,IVTTReaction,aq1h2skrtd5dvmz,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:2,,,,,,,
3,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),3,IVTTReaction,aq1h2skrtd5dvn4,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:3,,,,,,,
4,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),4,IVTTReaction,aq1h2skrtd6j3s2,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:4,,,,,,,
5,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),5,IVTTReaction,aq1h2skrtd6j3s5,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:5,,,,,,,
6,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),6,IVTTReaction,aq1h2skrtd7p9w5,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:6,,,,,,,
7,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),7,IVTTReaction,aq1h2skrtd7p9w8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:7,,,,,,,
8,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),8,IVTTReaction,aq1h2skrtd8tg26,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,,,,
9,ct1h2pwneqvysub-IVTT-Plate,ct1h2q2wkctdefe,Container(ct1h2pwneqvysub-IVTT-Plate),9,IVTTReaction,aq1h2skrtd9xp65,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:9,,,,,,,
