,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A1,288.7297949565847,ct1h2t2v9ssjqxk,aq1h2t5rm4jaf7v,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:0,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
1,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A2,354.5017318731336,ct1h2t2v9ssjqxk,aq1h2t5rm4qyev2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:1,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
2,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A3,338.11834279743977,ct1h2t2v9ssjqxk,aq1h2t6d3q8hn7y,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:2,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
3,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A4,299.78018409600395,ct1h2t2v9ssjqxk,aq1h2t6d3qd3er7,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:3,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
4,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A5,300.50390117675744,ct1h2t2v9ssjqxk,aq1h2t6zjh5sfbm,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:4,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
5,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A6,663.0139475102754,ct1h2t2v9ssjqxk,aq1h2t6zjhbfeys,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:5,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
6,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A7,299.4499642416992,ct1h2t2v9ssjqxk,aq1h2t7myjkp828,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:6,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
7,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A8,313.05778475004814,ct1h2t2v9ssjqxk,aq1h2t7myjsc7pb,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:7,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
8,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A9,318.1366299198167,ct1h2t2v9ssjqxk,aq1h2t89dactsdd,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
9,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,A10,300.27972153264795,ct1h2t2v9ssjqxk,aq1h2t89dajgs2h,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:9,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445
