,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F76AD8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,374.1084772225887,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8xdxhy3jdf,w13w8wgguy5mae,2022-05-18T17:18:22.795-07:00,platereader,i1h2t2v9kdzbay,{},[],,,,,,,False,2022-05-18T17:18:22.869-07:00,20,372,445,2022-05-18 17:18:22.869000-07:00,25
1,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[22 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x14F52808>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,373.5175652892452,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8xenx8xdub,w13w8wgguy5maj,2022-05-18T17:20:54.442-07:00,platereader,i1h2t2v9kg9qk2,{},[],,,,,,,False,2022-05-18T17:20:54.519-07:00,22,372,445,2022-05-18 17:20:54.519000-07:00,27
2,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CF41F0>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,53249.82890688101,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.1607843137254902,d13w8x6qt3ehp9,w13w8wgguxz7v8,2022-05-18T16:53:07.835-07:00,platereader,i1h2t2v9jpacqb,{},[],,,,,,,False,2022-05-18T16:53:07.916-07:00,-1,494,512,2022-05-18 16:53:07.916000-07:00,0
3,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CF4E08>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,316.5717706274574,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8x7f742sn9,w13w8wgguy5m99,2022-05-18T16:55:39.425-07:00,platereader,i1h2t2v9jrjryd,{},[],,,,,,,False,2022-05-18T16:55:39.496-07:00,2,372,445,2022-05-18 16:55:39.496000-07:00,2
4,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[4 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CF43D0>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,315.90816889684675,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8x86gsys8q,w13w8wgguy5m9d,2022-05-18T16:58:10.511-07:00,platereader,i1h2t2v9jtu68f,{},[],,,,,,,False,2022-05-18T16:58:10.585-07:00,4,372,445,2022-05-18 16:58:10.585000-07:00,5
5,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[6 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CF44A8>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,326.01161117683927,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8x8vwfwkxj,w13w8wgguy5m9h,2022-05-18T17:00:42.243-07:00,platereader,i1h2t2v9jw4jgh,{},[],,,,,,,False,2022-05-18T17:00:42.317-07:00,6,372,445,2022-05-18 17:00:42.317000-07:00,7
6,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[8 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CF4808>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,330.6149435192319,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8x9m9rhpr9,w13w8wgguy5m9n,2022-05-18T17:03:13.676-07:00,platereader,i1h2t2v9jycxrk,{},[],,,,,,,False,2022-05-18T17:03:13.739-07:00,8,372,445,2022-05-18 17:03:13.739000-07:00,10
7,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[10 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CDA970>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,340.65067250513835,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8xabnbpdbd,w13w8wgguy5m9s,2022-05-18T17:05:45.167-07:00,platereader,i1h2t2v9k2nbzn,{},[],,,,,,,False,2022-05-18T17:05:45.251-07:00,10,372,445,2022-05-18 17:05:45.251000-07:00,12
8,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[12 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CDAF40>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,343.228425447128,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8xb2za84bx,w13w8wgguy5m9w,2022-05-18T17:08:16.524-07:00,platereader,i1h2t2v9k4wr9q,{},[],,,,,,,False,2022-05-18T17:08:16.596-07:00,12,372,445,2022-05-18 17:08:16.596000-07:00,15
9,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,ct1h2t2v9ssjqxk,Container(Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate),80,ProteinActivityReaction,aq1h2t89dahcjwf,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2pwneqvysub:8,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate-Read[14 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15CDAF70>,Row:0-ct1h2q2wkctdefe-ProteinActivity-Plate,G9,350.12561637032195,ct1h2t2v9ssjqxk,ProteinActivityReaction,100.0,0.2509803921568627,d13w8xbsdjt5zj,w13w8wgguy5ma2,2022-05-18T17:10:48.170-07:00,platereader,i1h2t2v9k775hs,{},[],,,,,,,False,2022-05-18T17:10:48.245-07:00,14,372,445,2022-05-18 17:10:48.245000-07:00,17
