,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),0,IVTTReaction,aq1h2zhduj5sdy8,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:0,,,,,,,
1,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),1,IVTTReaction,aq1h2zhduj6wm4b,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:1,,,,,,,
2,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),2,IVTTReaction,aq1h2zhduj82t8a,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:2,,,,,,,
3,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),3,IVTTReaction,aq1h2zhduj82t8d,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:3,,,,,,,
4,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),4,IVTTReaction,aq1h2zhduj96zcb,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:4,,,,,,,
5,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),5,IVTTReaction,aq1h2zhduj96zce,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:5,,,,,,,
6,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),6,IVTTReaction,aq1h2zhdujab7gd,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:6,,,,,,,
7,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),7,IVTTReaction,aq1h2zhdujab7gg,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:7,,,,,,,
8,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),8,IVTTReaction,aq1h2zhdujbfdmf,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:8,,,,,,,
9,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),9,IVTTReaction,aq1h2zhdujckkre,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:9,,,,,,,
10,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),10,IVTTReaction,aq1h2zhdujckkrh,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:10,,,,,,,
11,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),11,IVTTReaction,aq1h2zhdujdqsvg,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:11,,,,,,,
12,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),12,,aq1h2zhhnw5f8vu,-55.0,,,,,,,ct1h2wjn838xnft:12,,,,,,,
13,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),13,,aq1h2zhhnw6kezq,-55.0,,,,,,,ct1h2wjn838xnft:13,,,,,,,
14,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),14,,aq1h2zhhnw6kezs,-55.0,,,,,,,ct1h2wjn838xnft:14,,,,,,,
15,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),15,,aq1h2zhhnw6kezu,-55.0,,,,,,,ct1h2wjn838xnft:15,,,,,,,
16,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),16,,aq1h2zhhnw7qn5r,-55.0,,,,,,,ct1h2wjn838xnft:16,,,,,,,
17,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),17,,aq1h2zhhnw7qn5t,-55.0,,,,,,,ct1h2wjn838xnft:17,,,,,,,
18,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),18,,aq1h2zhhnw7qn5v,-55.0,,,,,,,ct1h2wjn838xnft:18,,,,,,,
19,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),19,,aq1h2zhhnw8uu9r,-55.0,,,,,,,ct1h2wjn838xnft:19,,,,,,,
20,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),20,,aq1h2zhhnw8uu9t,-55.0,,,,,,,ct1h2wjn838xnft:20,,,,,,,
21,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),21,,aq1h2zhhnw8uu9v,-55.0,,,,,,,ct1h2wjn838xnft:21,,,,,,,
22,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),22,,aq1h2zhhnw9z2ds,-55.0,,,,,,,ct1h2wjn838xnft:22,,,,,,,
23,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),23,,aq1h2zhhnw9z2du,-55.0,,,,,,,ct1h2wjn838xnft:23,,,,,,,
24,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),24,,aq1h2zhhnw9z2dw,-55.0,,,,,,,ct1h2wjn838xnft:24,,,,,,,
25,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),25,,aq1h2zhhnw9z2dy,-55.0,,,,,,,ct1h2wjn838xnft:25,,,,,,,
26,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),26,,aq1h2zhhnwb58ht,-55.0,,,,,,,ct1h2wjn838xnft:26,,,,,,,
27,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),27,,aq1h2zhhnwb58hv,-55.0,,,,,,,ct1h2wjn838xnft:27,,,,,,,
28,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),28,,aq1h2zhhnwb58hx,-55.0,,,,,,,ct1h2wjn838xnft:28,,,,,,,
29,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),29,,aq1h2zhhnwc9enu,-55.0,,,,,,,ct1h2wjn838xnft:29,,,,,,,
30,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),30,,aq1h2zhhnwc9enw,-55.0,,,,,,,ct1h2wjn838xnft:30,,,,,,,
31,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),31,,aq1h2zhhnwc9eny,-55.0,,,,,,,ct1h2wjn838xnft:31,,,,,,,
32,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),32,,aq1h2zhhnwc9ep2,-55.0,,,,,,,ct1h2wjn838xnft:32,,,,,,,
33,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),33,,aq1h2zhhnwddmsv,-55.0,,,,,,,ct1h2wjn838xnft:33,,,,,,,
34,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),34,,aq1h2zhhnwddmsx,-55.0,,,,,,,ct1h2wjn838xnft:34,,,,,,,
35,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),35,,aq1h2zhhnwddmsz,-55.0,,,,,,,ct1h2wjn838xnft:35,,,,,,,
36,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),36,,aq1h2zhhnwehtww,-55.0,,,,,,,ct1h2wjn838xnft:36,,,,,,,
37,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),37,,aq1h2zhhnwehtwy,-55.0,,,,,,,ct1h2wjn838xnft:37,,,,,,,
38,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),38,,aq1h2zhhnwehtx2,-55.0,,,,,,,ct1h2wjn838xnft:38,,,,,,,
39,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),39,,aq1h2zhhnwehtx4,-55.0,,,,,,,ct1h2wjn838xnft:39,,,,,,,
40,ct1h2wjn838xnft-IVTT-Plate,ct1h2zgdqxg4xeq,Container(ct1h2wjn838xnft-IVTT-Plate),40,,aq1h2zhhnwfp22x,-55.0,,,,,,,ct1h2wjn838xnft:40,,,,,,,
