,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot ID,Aliquot Name,Aliquot Volume (ul),Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,incubation_temp,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm
0,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A1,441.6362974861188,ct1h2zyfsjyj3w5,aq1h3246cqba98u,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:0,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
1,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A2,307.61555137011067,ct1h2zyfsjyj3w5,aq1h3246cqfu2s3,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:1,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
2,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A3,325.0785320728557,ct1h2zyfsjyj3w5,aq1h324stzq587u,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:2,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
3,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A4,293.7999984042747,ct1h2zyfsjyj3w5,aq1h324stzunzr2,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:3,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
4,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A5,293.0713215912453,ct1h2zyfsjyj3w5,aq1h325e9twwbbf,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:4,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
5,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A6,292.0433287216765,ct1h2zyfsjyj3w5,aq1h325e9u4kayg,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:5,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
6,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A7,382.4112387302223,ct1h2zyfsjyj3w5,aq1h3262qatgnru,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:6,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
7,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A8,295.18556548012,ct1h2zyfsjyj3w5,aq1h3262qaz6ndw,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:7,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
8,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A9,301.03738825639664,ct1h2zyfsjyj3w5,aq1h326p5e7jwc4,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:8,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
9,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x15E31058>,Row:0-ct1h2zgdqxg4xeq-ProteinActivity-Plate,A10,321.24552393979263,ct1h2zyfsjyj3w5,aq1h326p5ed8vz8,ProteinActivityReaction,100.0,rs1fbyyzjd6ptbz,90:microliter,LigandMix,75:celsius,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h2wjn838xnft:9,0.2509803921568627,d13w9t5xva932p,w13w9seefah23j,2022-05-20T17:38:35.954-07:00,platereader,i1h2zyfsbzth6z,{},[],,,,,,,False,2022-05-20T17:38:36.028-07:00,2,372,445
