,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind
0,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),0,IVTTReaction,aq1h3eydfrf7r6s,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:0,,,,,,,
1,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),1,IVTTReaction,aq1h3eydfrf7r6v,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:1,,,,,,,
2,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),2,IVTTReaction,aq1h3eydfrgbxav,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:2,,,,,,,
3,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),3,IVTTReaction,aq1h3eydfrgbxay,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:3,,,,,,,
4,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),4,IVTTReaction,aq1h3eydfrhg5ew,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:4,,,,,,,
5,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),5,IVTTReaction,aq1h3eydfrhg5ez,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:5,,,,,,,
6,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),6,IVTTReaction,aq1h3eydfrjmbjx,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:6,,,,,,,
7,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),7,IVTTReaction,aq1h3eydfrkrhpw,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:7,,,,,,,
8,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),8,IVTTReaction,aq1h3eydfrkrhpz,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:8,,,,,,,
9,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),9,IVTTReaction,aq1h3eydfrmvqtx,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:9,,,,,,,
10,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),10,IVTTReaction,aq1h3eydfrmvqu2,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:10,,,,,,,
11,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),11,IVTTReaction,aq1h3eydfrnzwxz,5.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3c5fspjftsw:11,,,,,,,
12,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),12,,aq1h3eyhaktrmqt,-55.0,,,,,,,ct1h3c5fspjftsw:12,,,,,,,
13,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),13,,aq1h3eyhaktrmqv,-55.0,,,,,,,ct1h3c5fspjftsw:13,,,,,,,
14,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),14,,aq1h3eyhaktrmqx,-55.0,,,,,,,ct1h3c5fspjftsw:14,,,,,,,
15,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),15,,aq1h3eyhakuvtut,-55.0,,,,,,,ct1h3c5fspjftsw:15,,,,,,,
16,ct1h3c5fspjftsw-IVTT-Plate,ct1h3cbmugah86w,Container(ct1h3c5fspjftsw-IVTT-Plate),16,,aq1h3eyhakuvtuv,-55.0,,,,,,,ct1h3c5fspjftsw:16,,,,,,,
