,ContainerName,ContainerId,Containers,Well Index,Name,Aliquot ID,Volume,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,AccuRapid-Master-Mix:Kind,source,PCR-H2O:Water,PCR-H2O:Volume,PCR-H2O:Kind,incubation_temp,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,DataName,DataType,DataOperation,DataAnalysisTool,Datasets,Refname,Well,Fluorescence,Container ID,Aliquot Name,Aliquot Volume (ul),GAIN,Dataid,Datawarp_id,Datacreated_at,Datadata_type,Datainstruction_id,Datametadata,Dataattachments,Datatitle,Datadeleted_at,Datarun_id,Datauploaded_by,Dataanalysis_tool,Dataanalysis_tool_version,Datais_analysis,DataTimepoint,read_num,excitation_nm,emission_nm,timestamp,minutes
0,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[20 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x161D0220>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,1994.9826512160903,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcc2b48tkrr,w13wcb4vgb6qwc,2022-05-26T16:13:28.671-07:00,platereader,i1h3p9eta9rq3m,{},[],,,,,,,False,2022-05-26T16:13:28.753-07:00,20,372,445,2022-05-26 16:13:28.753000-07:00,25
1,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[40 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1596E118>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,3401.9142950852192,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcc9ht5pq5q,w13wcb4vgbb59d,2022-05-26T16:38:43.413-07:00,platereader,i1h3p9etazfnp9,{},[],,,,,,,False,2022-05-26T16:38:43.485-07:00,40,372,445,2022-05-26 16:38:43.485000-07:00,50
2,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[42 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676FC58>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,3516.4276399971977,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcca962d83k,w13wcb4vgbb59h,2022-05-26T16:41:14.757-07:00,platereader,i1h3p9etb3r2xb,{},[],,,,,,,False,2022-05-26T16:41:14.831-07:00,42,372,445,2022-05-26 16:41:14.831000-07:00,52
3,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[52 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676FAC0>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,4231.8795442179535,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wccduucn6xm,w13wcb4vgbb5a6,2022-05-26T16:53:51.010-07:00,platereader,i1h3p9etbf428n,{},[],,,,,,,False,2022-05-26T16:53:51.085-07:00,52,372,445,2022-05-26 16:53:51.085000-07:00,65
4,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[54 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676F910>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,4322.869651133312,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wccek6ydwzr,w13wcb4vgbb5aa,2022-05-26T16:56:22.291-07:00,platereader,i1h3p9etbhcegq,{},[],,,,,,,False,2022-05-26T16:56:22.366-07:00,54,372,445,2022-05-26 16:56:22.366000-07:00,68
5,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[56 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676F4C0>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,4503.1965964034725,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wccfajr3t3h,w13wcb4vgbb5ae,2022-05-26T16:58:53.825-07:00,platereader,i1h3p9etbkmtrs,{},[],,,,,,,False,2022-05-26T16:58:53.903-07:00,56,372,445,2022-05-26 16:58:53.903000-07:00,70
6,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[22 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676FF10>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,2140.785824854605,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcc32f9cb2g,w13wcb4vgb6qwg,2022-05-26T16:16:00.042-07:00,platereader,i1h3p9etac24bp,{},[],,,,,,,False,2022-05-26T16:16:00.125-07:00,22,372,445,2022-05-26 16:16:00.125000-07:00,27
7,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-ex494 nanometer-em512 nanometer,platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676F310>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,53303.26473773516,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.1607843137254902,d13wcbt4jsq6ck,w13wcb4vgb6qv3,2022-05-26T15:48:15.118-07:00,platereader,i1h3p9et9k6xkz,{},[],,,,,,,False,2022-05-26T15:48:15.193-07:00,-1,494,512,2022-05-26 15:48:15.193000-07:00,0
8,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[2 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676F0B8>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,762.1322113349055,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcbttx2wvjp,w13wcb4vgb6qv7,2022-05-26T15:50:46.543-07:00,platereader,i1h3p9et9nfbv3,{},[],,,,,,,False,2022-05-26T15:50:46.618-07:00,2,372,445,2022-05-26 15:50:46.618000-07:00,2
9,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,ct1h3p9etgtz4cd,Container(Row:0-ct1h3kckccxp264-ProteinActivity-Plate),77,ProteinActivityReaction,aq1h3pfn2mehm4g,100.0,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,Protein,ct1h3k7c64sqzqs:5,,,,32.5:celsius,rs1fbyyzjd6ptbz,90:microliter,LigandMix,Row:0-ct1h3kckccxp264-ProteinActivity-Plate-Read[24 minute]-ex[372 nanometer]-em[445 nanometer],platereader,fluorescence,,<transcriptic.jupyter.dataset.Dataset object at 0x1676F040>,Row:0-ct1h3kckccxp264-ProteinActivity-Plate,G6,2284.7340943095155,ct1h3p9etgtz4cd,ProteinActivityReaction,100.0,0.2509803921568627,d13wcc3rsd44eb,w13wcb4vgb6qwm,2022-05-26T16:18:31.217-07:00,platereader,i1h3p9etaeagkr,{},[],,,,,,,False,2022-05-26T16:18:31.290-07:00,24,372,445,2022-05-26 16:18:31.290000-07:00,30
