Time [s],6311-75.0C,6311-68.6C,6311-65.0C,6311-60.2C,6311-55.0C,6311-49.2C,6311-45.8C,6311-40.0C,6311-75.0C,6311-68.6C,6311-65.0C,6311-60.2C,6311-55.0C,6311-49.2C,6311-45.8C,6311-40.0C,6311-75.0C,6311-68.6C,6311-65.0C,6311-60.2C,6311-55.0C,6311-49.2C,6311-45.8C,6311-40.0C,6311-75.0C,6311-68.6C,6311-65.0C,6311-60.2C,6311-55.0C,6311-49.2C,6311-45.8C,6311-40.0C,6511-75.0C,6511-68.6C,6511-65.0C,6511-60.2C,6511-55.0C,6511-49.2C,6511-45.8C,6511-40.0C,6511-75.0C,6511-68.6C,6511-65.0C,6511-60.2C,6511-55.0C,6511-49.2C,6511-45.8C,6511-40.0C,6511-75.0C,6511-68.6C,6511-65.0C,6511-60.2C,6511-55.0C,6511-49.2C,6511-45.8C,6511-40.0C,6511-75.0C,6511-68.6C,6511-65.0C,6511-60.2C,6511-55.0C,6511-49.2C,6511-45.8C,6511-40.0C,6611-75.0C,6611-68.6C,6611-65.0C,6611-60.2C,6611-55.0C,6611-49.2C,6611-45.8C,6611-40.0C,6611-75.0C,6611-68.6C,6611-65.0C,6611-60.2C,6611-55.0C,6611-49.2C,6611-45.8C,6611-40.0C,6611-75.0C,6611-68.6C,6611-65.0C,6611-60.2C,6611-55.0C,6611-49.2C,6611-45.8C,6611-40.0C,6611-75.0C,6611-68.6C,6611-65.0C,6611-60.2C,6611-55.0C,6611-49.2C,6611-45.8C,6611-40.0C
0.0,19.0,19.0,18.0,21.0,893.0,3591.0,4105.0,4279.0,20.0,19.0,19.0,22.0,980.0,3867.0,4129.0,4184.0,19.0,18.0,19.0,22.0,1064.0,3687.0,4226.0,4015.0,19.0,19.0,19.0,21.0,986.0,3571.0,4241.0,3965.0,20.0,20.0,19.0,215.0,1264.0,2049.0,1958.0,1918.0,19.0,19.0,19.0,224.0,1371.0,1974.0,1968.0,1944.0,18.0,19.0,20.0,218.0,1314.0,2014.0,1919.0,1897.0,22.0,19.0,19.0,222.0,1293.0,2089.0,1933.0,1878.0,20.0,19.0,19.0,97.0,2489.0,3814.0,4375.0,3739.0,20.0,19.0,22.0,95.0,2579.0,3824.0,4137.0,4091.0,18.0,17.0,18.0,94.0,2603.0,3820.0,4271.0,3694.0,21.0,19.0,19.0,103.0,2572.0,4007.0,4220.0,3315.0
119.82,19.0,19.0,18.0,24.0,1524.0,6162.0,7047.0,7449.0,19.0,19.0,19.0,24.0,1658.0,6351.0,6979.0,7492.0,18.0,19.0,19.0,24.0,1798.0,6376.0,7404.0,7286.0,19.0,19.0,19.0,24.0,1714.0,5995.0,7137.0,7099.0,19.0,19.0,20.0,357.0,2105.0,3523.0,3330.0,3503.0,18.0,18.0,19.0,347.0,2226.0,3387.0,3437.0,3485.0,18.0,19.0,20.0,346.0,2095.0,3425.0,3378.0,3429.0,21.0,19.0,19.0,343.0,2161.0,3520.0,3363.0,3434.0,19.0,18.0,19.0,146.0,4053.0,6277.0,7329.0,6073.0,19.0,19.0,70.0,145.0,4119.0,6349.0,6968.0,7081.0,19.0,17.0,18.0,146.0,4208.0,6415.0,7015.0,6375.0,39.0,19.0,19.0,155.0,4321.0,6579.0,6733.0,5809.0
239.824,19.0,18.0,18.0,26.0,2185.0,8370.0,9648.0,10593.0,19.0,18.0,19.0,26.0,2349.0,8608.0,9814.0,10725.0,19.0,19.0,19.0,26.0,2411.0,8775.0,9999.0,10353.0,19.0,19.0,18.0,27.0,2385.0,8441.0,10521.0,9807.0,20.0,19.0,20.0,494.0,2987.0,4828.0,4673.0,4705.0,19.0,19.0,19.0,485.0,3062.0,4673.0,4791.0,4722.0,20.0,18.0,20.0,473.0,2942.0,4762.0,4747.0,4599.0,22.0,18.0,20.0,464.0,2973.0,4803.0,4774.0,4589.0,21.0,50.0,19.0,198.0,5368.0,8424.0,9821.0,8174.0,19.0,19.0,53.0,191.0,5667.0,8392.0,9198.0,9354.0,19.0,17.0,18.0,194.0,5654.0,8517.0,9620.0,8432.0,43.0,18.0,19.0,210.0,5745.0,9087.0,9192.0,7542.0
359.823,19,18,19,27,2804,10370,11935,12711,19,19,19,27,3056,10377,11417,12461,19,19,19,28,3121,10577,12149,12275,19,19,18,29,3002,10524,12407,11699,20,19,20,610,3722,5924,5697,5432,19,19,20,616,3842,5748,5993,5688,23,19,21,581,3713,5803,5967,5392,21,18,20,578,3590,5920,5958,5436,19,64,18,239,6175,10200,11828,9997,19,18,54,233,6662,10131,11391,11549,19,17,18,238,6776,10252,11439,10701,21,18,18,255,6717,10610,10859,9687
479.818,19.0,18.0,18.0,29.0,3498.0,12637.0,13331.0,13872.0,19.0,19.0,19.0,30.0,3558.0,11809.0,13087.0,13826.0,19.0,18.0,18.0,31.0,3734.0,12551.0,13732.0,13460.0,19.0,19.0,18.0,31.0,3545.0,12328.0,14086.0,13357.0,19.0,19.0,20.0,735.0,4279.0,7049.0,6713.0,6725.0,19.0,19.0,21.0,732.0,4505.0,6959.0,6661.0,6807.0,21.0,18.0,20.0,706.0,4292.0,6844.0,6771.0,6711.0,21.0,18.0,20.0,704.0,4389.0,7036.0,6759.0,6644.0,19.0,58.0,19.0,279.0,7621.0,11876.0,13476.0,11995.0,19.0,18.0,60.0,271.0,7965.0,11917.0,13325.0,13754.0,19.0,16.0,18.0,273.0,7971.0,12216.0,13334.0,13000.0,33.0,18.0,20.0,300.0,8128.0,12072.0,12501.0,11832.0
599.818,19.0,18.0,18.0,32.0,3875.0,13787.0,14466.0,15681.0,19.0,19.0,19.0,31.0,4092.0,13476.0,15126.0,15233.0,18.0,18.0,18.0,33.0,4183.0,14264.0,15470.0,15223.0,18.0,18.0,18.0,33.0,4105.0,13725.0,15456.0,15238.0,19.0,19.0,21.0,854.0,4962.0,7729.0,7620.0,7935.0,19.0,19.0,20.0,825.0,5136.0,7748.0,7565.0,8005.0,22.0,20.0,21.0,808.0,4978.0,7715.0,7528.0,7811.0,21.0,17.0,20.0,800.0,5004.0,7981.0,7513.0,7376.0,19.0,58.0,18.0,312.0,8395.0,13172.0,15205.0,14034.0,19.0,18.0,52.0,296.0,8766.0,13156.0,15541.0,15451.0,18.0,16.0,18.0,296.0,9028.0,13145.0,15456.0,14830.0,130.0,17.0,19.0,339.0,8724.0,13333.0,14407.0,13733.0
719.825,18.0,18.0,18.0,34.0,4427.0,16115.0,16198.0,17584.0,19.0,18.0,19.0,35.0,4598.0,14603.0,16676.0,17664.0,19.0,18.0,19.0,36.0,4606.0,15234.0,17083.0,17237.0,19.0,18.0,18.0,36.0,4585.0,14580.0,17483.0,16722.0,19.0,20.0,21.0,929.0,5653.0,8976.0,8678.0,8867.0,18.0,19.0,21.0,945.0,5842.0,8658.0,8356.0,9207.0,20.0,19.0,21.0,899.0,5634.0,8723.0,8464.0,9057.0,21.0,19.0,21.0,922.0,5592.0,8937.0,8396.0,8472.0,19.0,57.0,18.0,342.0,9207.0,14816.0,17404.0,15994.0,19.0,18.0,44.0,343.0,9776.0,14777.0,17448.0,17753.0,18.0,16.0,17.0,334.0,9806.0,14773.0,17528.0,16434.0,20.0,18.0,19.0,374.0,9947.0,15027.0,16143.0,15228.0
839.824,19.0,18.0,18.0,37.0,5033.0,17300.0,18078.0,19452.0,19.0,19.0,19.0,37.0,5176.0,16116.0,17556.0,19345.0,19.0,18.0,19.0,37.0,5205.0,16382.0,18821.0,18934.0,19.0,19.0,19.0,38.0,4990.0,16388.0,18977.0,19009.0,20.0,19.0,21.0,1038.0,6108.0,9768.0,9576.0,10024.0,18.0,18.0,22.0,1053.0,6511.0,9380.0,9573.0,10237.0,20.0,21.0,22.0,1027.0,6213.0,9614.0,9271.0,10061.0,21.0,28.0,21.0,1018.0,6268.0,9506.0,9185.0,9735.0,19.0,51.0,18.0,382.0,9971.0,16181.0,19104.0,17648.0,19.0,18.0,36.0,369.0,10584.0,16020.0,19216.0,19579.0,18.0,16.0,17.0,375.0,10642.0,16699.0,18818.0,18473.0,20.0,18.0,19.0,413.0,10707.0,16508.0,17737.0,16885.0
959.827,19.0,18.0,18.0,39.0,5382.0,18211.0,19170.0,21077.0,18.0,19.0,19.0,37.0,5624.0,17581.0,19543.0,20902.0,18.0,19.0,19.0,38.0,5456.0,17557.0,20488.0,20387.0,19.0,19.0,19.0,39.0,5430.0,17447.0,20672.0,20693.0,20.0,20.0,22.0,1120.0,6580.0,10487.0,10666.0,11185.0,19.0,19.0,22.0,1153.0,6745.0,10384.0,10604.0,11362.0,21.0,20.0,22.0,1115.0,6754.0,10327.0,10003.0,11269.0,21.0,62.0,22.0,1121.0,6864.0,10464.0,10241.0,10895.0,19.0,46.0,18.0,410.0,10897.0,17531.0,20511.0,19365.0,19.0,18.0,48.0,401.0,11446.0,17589.0,20903.0,21922.0,19.0,16.0,18.0,403.0,11470.0,17844.0,20509.0,20463.0,20.0,17.0,19.0,436.0,11647.0,17965.0,19402.0,18486.0
1079.835,19.0,19.0,18.0,40.0,5874.0,18714.0,19969.0,22927.0,19.0,19.0,19.0,39.0,5865.0,18224.0,20434.0,22260.0,18.0,19.0,18.0,41.0,5867.0,18638.0,21864.0,22121.0,19.0,19.0,19.0,41.0,5946.0,18305.0,22018.0,21633.0,19.0,20.0,22.0,1212.0,7241.0,11394.0,11532.0,11756.0,19.0,19.0,22.0,1216.0,7428.0,10984.0,11194.0,12172.0,19.0,21.0,23.0,1177.0,7053.0,11119.0,11040.0,12367.0,21.0,71.0,21.0,1202.0,6961.0,11249.0,10936.0,11501.0,19.0,46.0,18.0,444.0,11491.0,18945.0,22593.0,20376.0,18.0,17.0,44.0,432.0,11986.0,18653.0,22512.0,22660.0,18.0,16.0,18.0,437.0,12021.0,19116.0,22002.0,21644.0,20.0,17.0,19.0,478.0,11948.0,19144.0,20527.0,19879.0
