Time [s],6151-500.0uM,6151-250.0uM,6151-125.0uM,6151-62.5uM,6151-31.25uM,6151-15.625uM,6151-7.8125uM,6151-3.90625uM,6151-500.0uM,6151-250.0uM,6151-125.0uM,6151-62.5uM,6151-31.25uM,6151-15.625uM,6151-7.8125uM,6151-3.90625uM,6151-500.0uM,6151-250.0uM,6151-125.0uM,6151-62.5uM,6151-31.25uM,6151-15.625uM,6151-7.8125uM,6151-3.90625uM,6151-500.0uM,6151-250.0uM,6151-125.0uM,6151-62.5uM,6151-31.25uM,6151-15.625uM,6151-7.8125uM,6151-3.90625uM,6251-500.0uM,6251-250.0uM,6251-125.0uM,6251-62.5uM,6251-31.25uM,6251-15.625uM,6251-7.8125uM,6251-3.90625uM,6251-500.0uM,6251-250.0uM,6251-125.0uM,6251-62.5uM,6251-31.25uM,6251-15.625uM,6251-7.8125uM,6251-3.90625uM,6251-500.0uM,6251-250.0uM,6251-125.0uM,6251-62.5uM,6251-31.25uM,6251-15.625uM,6251-7.8125uM,6251-3.90625uM,6251-500.0uM,6251-250.0uM,6251-125.0uM,6251-62.5uM,6251-31.25uM,6251-15.625uM,6251-7.8125uM,6251-3.90625uM
0.0,2394.0,3185.0,2846.0,2335.0,1587.0,1028.0,632.0,349.0,2367.0,3123.0,2867.0,2372.0,1575.0,987.0,590.0,352.0,2357.0,3048.0,2822.0,2268.0,1550.0,1007.0,630.0,358.0,2510.0,3126.0,2860.0,2304.0,1563.0,1003.0,610.0,347.0,1674.0,2049.0,2029.0,1523.0,1081.0,693.0,429.0,245.0,1747.0,2019.0,1968.0,1525.0,1091.0,667.0,419.0,243.0,1698.0,1980.0,2002.0,1506.0,1066.0,646.0,379.0,248.0,1680.0,1953.0,1932.0,1555.0,1085.0,685.0,425.0,246.0
119.814,7520.0,7033.0,5372.0,3879.0,2435.0,1493.0,873.0,472.0,7309.0,7014.0,5434.0,3969.0,2456.0,1464.0,835.0,472.0,7255.0,6982.0,5466.0,3915.0,2464.0,1475.0,870.0,482.0,7731.0,7043.0,5537.0,4060.0,2452.0,1467.0,850.0,476.0,5092.0,4697.0,3955.0,2690.0,1640.0,1031.0,602.0,332.0,5234.0,4583.0,3829.0,2646.0,1714.0,985.0,594.0,330.0,5157.0,4605.0,3838.0,2636.0,1683.0,979.0,528.0,338.0,5076.0,4536.0,3801.0,2689.0,1730.0,1017.0,619.0,343.0
239.813,12673.0,11183.0,8156.0,5632.0,3326.0,1973.0,1133.0,595.0,12387.0,11003.0,8081.0,5639.0,3290.0,1933.0,1088.0,594.0,11993.0,10909.0,8138.0,5416.0,3316.0,1987.0,1134.0,608.0,12855.0,11087.0,8273.0,5652.0,3373.0,1922.0,1123.0,592.0,8601.0,7514.0,5760.0,3789.0,2195.0,1373.0,783.0,427.0,8710.0,7325.0,5712.0,3817.0,2298.0,1283.0,765.0,415.0,8521.0,7203.0,5761.0,3782.0,2301.0,1341.0,681.0,418.0,8364.0,7293.0,5564.0,3837.0,2318.0,1344.0,781.0,425.0
359.813,17227,14702,10524,6989,4152,2385,1358,711,16787,14034,10164,6773,4028,2283,1250,718,16337,13791,10306,6924,3989,2306,1349,722,17167,14067,10685,7002,3980,2293,1317,707,11628,9552,7307,4634,2733,1625,902,497,11869,9504,7244,4762,2866,1541,906,499,11504,9591,7528,4726,2791,1611,809,508,11498,9738,7284,4971,2901,1633,947,522
479.816,21490.0,17786.0,12556.0,8272.0,4858.0,2797.0,1538.0,803.0,20733.0,16999.0,12105.0,7970.0,4684.0,2559.0,1437.0,812.0,20131.0,16380.0,11935.0,8224.0,4619.0,2614.0,1516.0,816.0,21038.0,17218.0,12435.0,8033.0,4745.0,2663.0,1525.0,806.0,14580.0,11476.0,8843.0,5496.0,3271.0,1865.0,1047.0,576.0,14745.0,11462.0,8714.0,5679.0,3273.0,1777.0,1056.0,584.0,14224.0,11610.0,8849.0,5673.0,3351.0,1880.0,937.0,583.0,14619.0,12012.0,8964.0,5927.0,3467.0,1926.0,1102.0,601.0
599.824,25255.0,20415.0,14394.0,9246.0,5493.0,3147.0,1718.0,901.0,24409.0,19699.0,14063.0,9136.0,5212.0,2912.0,1598.0,895.0,23547.0,19141.0,13805.0,8960.0,5223.0,2955.0,1676.0,910.0,24678.0,20131.0,14346.0,9149.0,5230.0,2940.0,1690.0,898.0,17473.0,13581.0,10271.0,6360.0,3692.0,2119.0,1170.0,644.0,17630.0,13475.0,9951.0,6477.0,3740.0,2059.0,1182.0,644.0,17025.0,13674.0,10131.0,6456.0,3710.0,2149.0,1059.0,660.0,17363.0,14387.0,10379.0,6929.0,3890.0,2182.0,1248.0,672.0
719.83,28743.0,22981.0,16126.0,10171.0,5882.0,3314.0,1854.0,950.0,27675.0,22371.0,15792.0,10095.0,5653.0,3132.0,1736.0,944.0,26844.0,21202.0,15386.0,9803.0,5665.0,3209.0,1804.0,965.0,28245.0,22422.0,15673.0,10150.0,5852.0,3181.0,1829.0,959.0,19886.0,15331.0,11556.0,7189.0,4090.0,2323.0,1266.0,687.0,20119.0,15377.0,11412.0,7276.0,4159.0,2230.0,1250.0,698.0,19586.0,15720.0,11605.0,7169.0,4066.0,2369.0,1138.0,686.0,19920.0,16226.0,11697.0,7731.0,4349.0,2387.0,1322.0,714.0
839.821,30198.0,24028.0,16610.0,10744.0,6174.0,3420.0,1876.0,984.0,29178.0,23075.0,16541.0,10498.0,5953.0,3249.0,1797.0,993.0,28549.0,22698.0,16287.0,10255.0,5831.0,3340.0,1897.0,1004.0,29937.0,23420.0,16855.0,10644.0,6064.0,3302.0,1877.0,985.0,21221.0,16351.0,12340.0,7382.0,4311.0,2425.0,1316.0,711.0,21611.0,16491.0,12014.0,7592.0,4272.0,2356.0,1287.0,715.0,20842.0,16774.0,12092.0,7533.0,4275.0,2499.0,1192.0,734.0,21314.0,17482.0,12105.0,8058.0,4458.0,2502.0,1383.0,751.0
959.832,31794.0,25837.0,18066.0,11547.0,6743.0,3752.0,2022.0,1093.0,30903.0,24896.0,17857.0,11676.0,6469.0,3561.0,1951.0,1084.0,30139.0,24854.0,17594.0,11424.0,6503.0,3654.0,2044.0,1108.0,32051.0,25847.0,18242.0,11693.0,6646.0,3610.0,2069.0,1077.0,22963.0,18007.0,13457.0,8174.0,4818.0,2647.0,1457.0,803.0,23201.0,17837.0,13093.0,8385.0,4807.0,2543.0,1454.0,785.0,22715.0,18031.0,13228.0,8257.0,4804.0,2748.0,1311.0,814.0,23077.0,18969.0,13536.0,8762.0,5056.0,2761.0,1535.0,833.0
1079.847,35113.0,27860.0,19852.0,12455.0,7243.0,3968.0,2142.0,1156.0,34469.0,27472.0,19308.0,12600.0,6945.0,3801.0,2100.0,1152.0,33034.0,26482.0,19122.0,12281.0,6998.0,3946.0,2185.0,1149.0,35082.0,28038.0,19894.0,12673.0,7157.0,3866.0,2203.0,1154.0,25280.0,19745.0,14925.0,8921.0,5145.0,2896.0,1563.0,845.0,25711.0,19810.0,14344.0,8972.0,5139.0,2770.0,1584.0,843.0,25067.0,20210.0,14348.0,8995.0,5167.0,2988.0,1410.0,872.0,25395.0,20387.0,14473.0,9455.0,5394.0,2937.0,1654.0,890.0
