Time [s],6311-500uM,6311-250uM,6311-125uM,6311-62.5uM,6311-31.25uM,6311-15.625uM,6311-7.8125uM,6311-3.90625,6311-500uM,6311-250uM,6311-125uM,6311-62.5uM,6311-31.25uM,6311-15.625uM,6311-7.8125uM,6311-3.90625,6311-500uM,6311-250uM,6311-125uM,6311-62.5uM,6311-31.25uM,6311-15.625uM,6311-7.8125uM,6311-3.90625,6311-500uM,6311-250uM,6311-125uM,6311-62.5uM,6311-31.25uM,6311-15.625uM,6311-7.8125uM,6311-3.90625,6511-500uM,6511-250uM,6511-125uM,6511-62.5uM,6511-31.25uM,6511-15.625uM,6511-7.8125uM,6511-3.90625,6511-500uM,6511-250uM,6511-125uM,6511-62.5uM,6511-31.25uM,6511-15.625uM,6511-7.8125uM,6511-3.90625,6511-500uM,6511-250uM,6511-125uM,6511-62.5uM,6511-31.25uM,6511-15.625uM,6511-7.8125uM,6511-3.90625,6511-500uM,6511-250uM,6511-125uM,6511-62.5uM,6511-31.25uM,6511-15.625uM,6511-7.8125uM,6511-3.90625
0.0,3627.0,5728.0,6101.0,5499.0,3663.0,2516.0,1471.0,942.0,3768.0,5739.0,6177.0,5685.0,3684.0,2486.0,1507.0,941.0,3604.0,5606.0,6109.0,5688.0,3729.0,2511.0,1516.0,895.0,3644.0,5612.0,6133.0,5877.0,3731.0,2519.0,1530.0,857.0,4298.0,6158.0,6245.0,5258.0,3653.0,2444.0,1435.0,830.0,4115.0,6456.0,6219.0,5185.0,3671.0,2470.0,1440.0,821.0,4038.0,5738.0,6217.0,5119.0,3660.0,2363.0,1389.0,712.0,4110.0,5696.0,6386.0,5059.0,3658.0,2354.0,1424.0,815.0
119.819,11711.0,12537.0,11385.0,8507.0,5278.0,3464.0,1974.0,1216.0,12243.0,12464.0,11896.0,9023.0,5421.0,3325.0,1968.0,1206.0,11319.0,12235.0,11656.0,8683.0,5490.0,3388.0,1992.0,1167.0,11368.0,12491.0,11700.0,9362.0,5453.0,3454.0,1990.0,1134.0,13208.0,13621.0,11949.0,8457.0,5195.0,3359.0,1924.0,1058.0,12680.0,14314.0,11586.0,8413.0,5245.0,3311.0,1860.0,1036.0,12460.0,12930.0,11741.0,8559.0,5379.0,3258.0,1857.0,896.0,12408.0,12824.0,11372.0,8566.0,5430.0,3219.0,1831.0,1029.0
239.817,18793.0,18479.0,16388.0,12243.0,7486.0,4694.0,2590.0,1557.0,19555.0,18204.0,16372.0,12668.0,7397.0,4458.0,2570.0,1542.0,18154.0,17845.0,16137.0,12271.0,7677.0,4563.0,2615.0,1473.0,18157.0,18830.0,16416.0,13056.0,7611.0,4716.0,2648.0,1463.0,21307.0,20336.0,16678.0,11904.0,7422.0,4410.0,2480.0,1367.0,20401.0,20870.0,16708.0,11781.0,7407.0,4467.0,2472.0,1344.0,19810.0,19620.0,16756.0,11938.0,7370.0,4426.0,2442.0,1153.0,19952.0,19599.0,15780.0,11644.0,7403.0,4276.0,2385.0,1349.0
359.819,26362,23949,21128,15398,9336,5537,3069,1803,27390,23238,20814,15593,9119,5358,3053,1815,25471,23360,20672,15634,9368,5483,3143,1712,25255,23666,20866,16189,9386,5629,3171,1700,29362,25969,21425,14794,9049,5366,2986,1574,28275,27357,21418,14890,9043,5370,2917,1584,27400,25641,21561,15117,9077,5279,2843,1351,27666,25301,20443,14499,9140,5223,2817,1567
479.831,32502.0,29291.0,25203.0,18140.0,10739.0,6457.0,3514.0,2029.0,33364.0,28378.0,25295.0,18065.0,10597.0,6153.0,3489.0,2018.0,31237.0,27956.0,24288.0,18680.0,10890.0,6320.0,3590.0,1904.0,31478.0,28416.0,24758.0,18558.0,10882.0,6393.0,3591.0,1913.0,36403.0,31552.0,24996.0,16698.0,10224.0,6058.0,3292.0,1784.0,34823.0,32467.0,25088.0,16981.0,10345.0,6074.0,3263.0,1762.0,33697.0,30665.0,25288.0,17356.0,10522.0,5999.0,3258.0,1521.0,34313.0,31314.0,25115.0,17414.0,10656.0,5995.0,3180.0,1784.0
599.802,37725.0,33811.0,28361.0,20103.0,12218.0,7060.0,3879.0,2193.0,39365.0,32317.0,28579.0,20827.0,11890.0,6830.0,3845.0,2193.0,36487.0,32385.0,27886.0,21003.0,12274.0,6972.0,3934.0,2124.0,36583.0,33054.0,28133.0,21475.0,12194.0,7171.0,3991.0,2092.0,42445.0,35864.0,28334.0,19352.0,11502.0,6703.0,3660.0,1939.0,40607.0,37259.0,27986.0,19157.0,11548.0,6722.0,3567.0,1913.0,39524.0,34892.0,28712.0,19629.0,11686.0,6697.0,3578.0,1663.0,40521.0,36512.0,29126.0,19722.0,12117.0,6706.0,3555.0,1975.0
719.802,42138.0,37261.0,31602.0,22397.0,13175.0,7691.0,4227.0,2420.0,44117.0,36731.0,31745.0,23048.0,13140.0,7455.0,4182.0,2364.0,41512.0,36271.0,31264.0,23143.0,13547.0,7704.0,4322.0,2277.0,41402.0,36957.0,31475.0,23291.0,13563.0,7869.0,4330.0,2253.0,47722.0,40153.0,31787.0,21249.0,12745.0,7257.0,3941.0,2102.0,45694.0,41573.0,31186.0,21571.0,12795.0,7332.0,3897.0,2059.0,44666.0,39243.0,31707.0,21630.0,12831.0,7313.0,3848.0,1790.0,44972.0,41008.0,32469.0,21977.0,13153.0,7478.0,3874.0,2124.0
839.806,46151.0,41198.0,34048.0,24392.0,14491.0,8392.0,4515.0,2540.0,48341.0,40452.0,35101.0,24783.0,14163.0,7998.0,4462.0,2519.0,45808.0,39851.0,34020.0,25235.0,14662.0,8133.0,4620.0,2448.0,45649.0,40813.0,34518.0,25883.0,14779.0,8475.0,4651.0,2449.0,52408.0,43888.0,34407.0,23406.0,13827.0,7935.0,4252.0,2242.0,50551.0,44886.0,34809.0,23306.0,13788.0,7954.0,4136.0,2183.0,48867.0,43034.0,34592.0,23356.0,13798.0,7837.0,4126.0,1915.0,49304.0,45228.0,35662.0,24199.0,14240.0,7888.0,4128.0,2248.0
959.813,49968.0,43706.0,37145.0,26144.0,15287.0,8746.0,4786.0,2654.0,52630.0,43122.0,37551.0,26545.0,15282.0,8655.0,4707.0,2668.0,49893.0,42929.0,36682.0,26826.0,15600.0,8893.0,4916.0,2589.0,49125.0,43819.0,37270.0,27281.0,15599.0,9109.0,4886.0,2581.0,55572.0,47392.0,37444.0,24921.0,14647.0,8421.0,4505.0,2325.0,54022.0,48737.0,36498.0,24855.0,14647.0,8434.0,4391.0,2291.0,52611.0,46724.0,37539.0,25207.0,14720.0,8297.0,4382.0,1986.0,53393.0,48687.0,38561.0,25825.0,15086.0,8437.0,4377.0,2375.0
1079.811,52369.0,46991.0,39200.0,27527.0,16324.0,9300.0,4969.0,2782.0,55202.0,46060.0,39933.0,28448.0,16022.0,9117.0,4967.0,2787.0,52117.0,45814.0,39326.0,28490.0,16500.0,9241.0,5200.0,2681.0,51921.0,47070.0,39673.0,29058.0,16726.0,9476.0,5163.0,2691.0,59975.0,50206.0,40050.0,26426.0,15517.0,8959.0,4643.0,2411.0,57149.0,51667.0,39309.0,26613.0,15760.0,8831.0,4611.0,2408.0,56308.0,49576.0,39488.0,26886.0,15609.0,8817.0,4527.0,2057.0,56571.0,51809.0,40479.0,27281.0,15796.0,8776.0,4547.0,2439.0
1199.816,55602,49095,41158,28938,17008,9789,5159,2845,58379,48338,41733,29825,16969,9368,5108,2854,54773,48523,40554,29964,17508,9712,5379,2806,54825,49476,41900,30789,17435,9950,5400,2768,OVER,53488,41626,27657,16287,9291,4841,2505,OVER,54555,41415,28091,16445,9209,4730,2452,59528,52531,41780,28389,16368,9161,4709,2135,OVER,53497,43083,29048,16723,9183,4760,2586
