>header
sequence name, functional

>data
13222212, 1
21332233, 1
21232222, 1
11213133, 1
22131223, 1
21331111, 0
21331112, 0
32233332, 1
21113211, 1
21311311, 1
21113212, 1
32233232, 1
32233233, 0
22212322, 1
23132212, 1
31133233, 1
11232111, 1
21313312, 1
21313313, 1
23133312, 0
21313311, 1
22331123, 1
22331121, 0
31212333, 1
11112212, 1
31212331, 1
32213132, 1
21112222, 1
23113112, 1
21132311, 1
21132313, 1
31232231, 1
23113312, 1
21213231, 1
23333213, 1
23333212, 1
23333211, 1
22133312, 1
21233111, 1
32111333, 1
22332321, 1
21232322, 1
22332322, 1
31132312, 0
23132322, 0
31132311, 0
22133112, 1
21212123, 1
31131233, 1
23311112, 0
22213321, 1
11232232, 1
33333321, 0
32313233, 1
23233231, 1
31312113, 1
21333321, 1
21312112, 1
22331223, 1
32313333, 1
22333133, 1
22333132, 1
22333131, 1
23213112, 1
22212131, 1
23332223, 1
13212321, 0
23332222, 1
22232121, 1
22232122, 1
22232123, 1
22132323, 1
11332333, 1
23112123, 0
21332131, 1
22213111, 1
22313333, 1
22313332, 1
12233212, 1
32331132, 0
23211332, 0
11313223, 0
13333323, 0
33311322, 0
21112312, 1
12212332, 1
22332211, 1
22213112, 1
33231212, 0
21331332, 1
21331333, 1
22333223, 1
22333222, 1
22333221, 1
22113323, 1
22312322, 1
22231312, 0
21212233, 1
22231311, 0
21333211, 1
21333212, 1
13331333, 0
13132223, 0
21212332, 1
21212333, 1
32211212, 0
21332223, 1
32333333, 1
21332221, 1
21222112, 1
23113332, 1
32132232, 1
32132233, 1
23133311, 1
22332112, 1
23313222, 1
32332123, 0
22312222, 1
22312223, 1
22312221, 1
21132321, 1
21132323, 1
31313123, 0
22112223, 1
23112233, 1
33332323, 1
33331321, 0
32311323, 1
32311322, 0
32232333, 1
23232233, 1
32232331, 1
21113312, 1
23331233, 1
31332232, 1
22233112, 1
31212332, 1
31333322, 1
11133231, 1
32233122, 0
32233123, 0
21211223, 1
23312312, 1
23312311, 1
33113111, 1
33331311, 0
22333313, 1
23333131, 1
31331333, 1
31331332, 0
23332331, 1
21311333, 1
21132212, 1
21311331, 1
13231332, 0
31212113, 0
11331312, 1
31332221, 0
21233112, 0
23333312, 1
22133211, 1
22133212, 1
23333311, 1
13233212, 1
22113132, 0
32133122, 0
12212112, 1
22312123, 1
32311212, 0
23133233, 1
12331333, 1
11132232, 0
21113221, 1
21113222, 0
21113223, 1
23131323, 1
23132323, 1
32332333, 1
32332332, 1
22311233, 1
32332231, 1
32332232, 1
23313133, 1
32312311, 1
21312233, 1
21112311, 1
21312231, 1
33132222, 0
33132223, 0
33111122, 0
32312231, 1
21232332, 1
31213223, 0
21111323, 1
33113233, 1
21111321, 1
32312233, 1
22112211, 1
33313323, 1
23332112, 1
31233233, 1
21133322, 1
21133321, 1
22133323, 1
12332233, 1
31232322, 0
31132223, 0
22332312, 1
31132221, 0
21232132, 1
23133121, 1
21212111, 1
32112311, 0
22213212, 1
31313223, 1
31313222, 0
31312231, 1
31312233, 1
21113133, 1
22112321, 1
22112323, 1
31312332, 1
31312333, 1
31213122, 0
23212332, 1
23212333, 1
22332233, 1
33231312, 0
31113323, 1
21333312, 1
31113321, 0
33211312, 0
23213121, 1
33212333, 1
23213123, 1
21233233, 1
22232331, 1
21131121, 1
11332221, 0
23311323, 1
22132212, 1
23332323, 1
31233122, 0
13113311, 1
22213132, 1
32113131, 1
23232113, 1
22233332, 1
22233333, 0
22233331, 0
22111223, 1
32232111, 0
12313331, 1
21212112, 1
33312333, 1
13333122, 1
13333123, 0
22332221, 1
22332222, 1
22332223, 1
33213112, 0
33231221, 0
22333311, 1
23132111, 1
22231223, 1
23213232, 1
22231221, 1
21232112, 1
31112121, 0
22112333, 1
31212232, 1
22131321, 0
32212323, 1
21333221, 1
32212321, 1
21333223, 1
21332312, 1
33232322, 0
33232323, 0
32213333, 1
22233223, 1
21231233, 1
21212212, 1
33332211, 0
21212122, 1
23212112, 1
32233222, 1
22231212, 0
23112221, 1
32133232, 1
23112223, 1
23112222, 0
21112212, 1
21333131, 1
21333132, 1
21333133, 0
11213231, 1
32312212, 1
13332332, 0
13332333, 1
12322333, 1
23213231, 0
21213223, 1
22231122, 0
22333211, 1
23333222, 1
23333223, 1
21332323, 1
11113233, 1
22311123, 1
22313232, 1
22313233, 1
22313231, 1
32133111, 1
23112323, 1
22213312, 1
22312111, 1
33312233, 0
32112212, 1
22131111, 0
11112123, 0
22131112, 0
32312322, 1
32312323, 1
33333333, 1
33333332, 0
13332223, 0
23233221, 1
22232222, 1
21213212, 1
21111212, 0
21312122, 1
21312123, 1
13232311, 0
21312121, 0
21133212, 0
21133211, 1
32211111, 0
13213131, 1
22113313, 1
33213333, 1
22311331, 1
22311333, 1
22311332, 0
21111322, 0
32331122, 0
22132312, 1
22311231, 0
33233131, 1
21213332, 1
22331212, 0
23113212, 1
32311131, 1
32311132, 0
13333233, 0
11111111, 1
11212112, 1
21332212, 1
11132323, 0
23233312, 1
13233133, 0
22313122, 1
31332333, 1
33112112, 0
32313232, 1
22333212, 1
32333323, 1
22233212, 1
22112131, 1
13132333, 0
21313111, 1
21313112, 1
12211222, 0
22232223, 1
22121331, 0
21212321, 1
31333112, 0
32132221, 0
31112231, 1
23332231, 1
23113323, 1
31313111, 1
32133233, 1
32333322, 0
22312231, 1
22331221, 1
22312233, 1
22312232, 1
32133331, 1
23313233, 1
22312331, 1
22312332, 1
22312333, 1
32313332, 1
21133331, 1
22331222, 0
33133323, 0
33133321, 0
12212211, 1
12231231, 0
12212212, 1
32332133, 1
23313111, 1
33331331, 0
33331333, 1
23313232, 1
21313221, 1
21212231, 1
23132121, 1
33331232, 1
32232322, 1
23232323, 1
23312323, 1
21211211, 0
32131212, 0
23333123, 1
23333122, 0
31313321, 0
31333333, 1
31333332, 1
22332113, 1
32333212, 0
31333232, 0
31333233, 1
32231332, 0
31233333, 1
33113121, 0
33313122, 0
22111332, 1
12232332, 1
21131212, 0
33131122, 0
33131123, 0
23231212, 0
23132231, 1
22212111, 1
23132233, 1
31111233, 1
31332112, 0
21312223, 1
21312222, 1
21313231, 1
32332222, 0
21313233, 1
23132232, 1
32231122, 0
31212323, 1
22211332, 0
21313331, 1
21313333, 1
33232222, 0
22211132, 0
31213331, 1
31213332, 1
21111333, 1
22333332, 1
12332223, 1
33313233, 1
21111312, 0
33113223, 0
22231113, 0
31211211, 0
21133312, 1
21233132, 1
12333333, 1
22212232, 1
31132231, 1
32232131, 1
31232333, 1
22113211, 1
22213222, 1
22213223, 1
22113223, 1
33133332, 0
23133112, 1
32113232, 1
31132333, 1
21133332, 1
31211232, 1
32112321, 1
23312111, 1
23312112, 1
21113122, 1
21333122, 1
21312311, 1
22313331, 1
21312313, 1
12331211, 0
22323313, 1
32313212, 0
23233212, 1
21232212, 1
21213321, 1
11332233, 1
21131111, 0
31113331, 1
33111222, 0
31113332, 1
21233221, 1
31233111, 0
33212222, 0
22233323, 1
23311313, 0
32213231, 1
32331111, 0
32331112, 0
11312233, 1
11131313, 1
32231222, 0
21232321, 1
32131311, 0
31213233, 1
31213232, 1
31132232, 1
12233112, 0
13333131, 1
23212211, 1
22332232, 1
23212212, 1
23233322, 0
11232323, 0
22333323, 1
22333321, 1
23213223, 1
23332221, 1
32212311, 0
22233221, 1
22233222, 1
22231232, 0
21212213, 1
22232312, 1
22232311, 1
21311313, 1
21333233, 1
22331332, 1
22231333, 0
33232333, 1
33331122, 0
21332322, 1
23213333, 1
12311333, 0
11333122, 0
32132211, 0
32132212, 0
32333311, 0
32333312, 1
23211121, 0
31231311, 0
23233232, 1
21331131, 0
32211112, 0
12332123, 0
22332123, 1
22332121, 1
12212223, 0
33332223, 0
33332221, 0
33211112, 0
12113221, 1
33232112, 0
23232212, 1
23232211, 1
21211321, 1
21312322, 1
11132223, 0
13331123, 0
21333121, 0
23113131, 1
23133333, 1
23133331, 1
23333111, 1
23211222, 0
11231232, 0
32333223, 1
33233222, 0
33233223, 0
11212333, 1
33233221, 0
23333233, 1
32111311, 0
21312321, 1
23333232, 1
21312323, 1
33332121, 0
33332123, 0
21132113, 1
21132112, 1
11113223, 0
13233233, 0
22313221, 1
13133323, 0
23231323, 0
21233321, 1
22213233, 1
32232213, 0
32232221, 0
32232222, 0
22331323, 1
33211211, 0
21312211, 1
21312212, 0
21312213, 1
32313133, 1
22233211, 1
32312333, 1
32312332, 1
32312331, 1
33312323, 0
13232323, 0
21312133, 1
21113111, 1
22333111, 0
31211312, 0
22333112, 1
32313313, 1
12211232, 1
31313131, 1
21133222, 1
21133223, 1
33113212, 1
11113311, 1
31112333, 1
21332111, 1
22232333, 1
21332113, 1
21332112, 1
23211311, 0
23112333, 1
21311223, 1
33333232, 1
33333233, 1
21211113, 0
22331211, 0
12232111, 1
12232112, 1
23312121, 1
23312122, 1
22313222, 1
13333223, 0
31312212, 1
21133131, 1
21331313, 0
23212312, 0
22232232, 1
33232223, 0
31313133, 1
21133123, 0
22232233, 1
33111312, 0
23331323, 1
31332322, 1
22222222, 1
21233312, 1
12133223, 0
33212313, 0
33212312, 0
33212311, 1
33213211, 1
23113311, 1
23311222, 0
22232213, 0
23113111, 1
23311221, 0
22233312, 1
31331221, 0
13132322, 0
31331223, 0
31331222, 0
32133323, 0
21312111, 1
32133321, 0
33213232, 1
31312133, 1
22212212, 1
33133233, 0
21232231, 1
11333212, 1
22132113, 1
31211131, 1
31211132, 0
31311112, 0
21113333, 1
23212221, 1
23212222, 1
12112333, 1
33333133, 0
23213311, 1
23331212, 0
33331223, 0
21112122, 1
21112123, 1
23232311, 1
31311212, 0
31313333, 1
31212211, 0
31212212, 1
33311231, 1
23332311, 1
32131133, 1
31333223, 0
31333222, 0
22112111, 1
33133121, 0
13333211, 1
22133232, 1
13311311, 0
22222121, 1
21311111, 0
32111121, 0
11333323, 0
22113111, 1
31133212, 0
32232212, 0
22333122, 1
32332212, 0
23132221, 1
32332211, 0
23122212, 1
12232233, 1
12232232, 1
23313231, 0
21112331, 1
22332132, 1
21112333, 1
21112332, 1
31212321, 1
11331123, 0
21313322, 1
21112232, 1
21112233, 1
33133333, 1
23111212, 0
32213123, 1
31213323, 1
33331233, 1
31313132, 1
31332323, 1
32212122, 0
33313223, 0
32332223, 1
23313121, 0
33332112, 0
22332332, 1
33311122, 0
31131323, 0
22313212, 1
21113112, 1
21233212, 1
32112232, 0
33312322, 1
21212133, 1
33311332, 0
23313212, 1
11311233, 1
31133331, 1
22131133, 0
22131132, 0
11331333, 1
31212132, 0
33231333, 0
33111212, 0
22211331, 0
32313222, 0
22331133, 0
32111123, 0
33212213, 1
12333331, 1
21333332, 0
21333333, 1
21333331, 0
22132231, 1
33232233, 1
22132233, 1
13233322, 0
32211133, 0
31113222, 1
22132331, 1
33233112, 0
33333323, 1
21332122, 1
33232312, 1
11313333, 1
22313323, 1
32113112, 0
23232131, 1
11313233, 1
31231323, 0
22112233, 1
21211122, 0
22312311, 1
31212112, 1
33113211, 1
21331223, 1
32132331, 1
32212133, 1
22212123, 1
23111112, 0
33313333, 1
11232333, 1
22333231, 1
22333232, 1
21311231, 1
22212312, 1
21133112, 1
21133113, 1
23213212, 1
31332312, 1
23213211, 1
21332331, 1
22212333, 1
21332333, 1
21332332, 1
22232322, 1
22232323, 1
33331133, 0
21332231, 1
23211132, 1
32213311, 0
22131222, 0
22131221, 1
32213312, 0
32133212, 0
23231121, 0
22312211, 1
31133123, 0
13212122, 0
31332233, 1
21313122, 1
23331232, 0
33332233, 1
33332232, 1
33232122, 0
33232123, 0
33332333, 1
33311311, 0
32111211, 0
31311122, 0
33311312, 0
32331222, 0
13232123, 0
23331112, 0
23133321, 1
32331212, 0
23232223, 0
23232221, 0
12211333, 1
22232212, 1
23112213, 1
32331221, 0
23113121, 1
21333111, 1
33233233, 1
31333311, 0
23313333, 1
32333233, 1
32333232, 1
23332322, 0
33233333, 1
21133313, 1
12213212, 1
21312333, 1
21312332, 1
22211222, 0
22112331, 1
23333323, 1
21132121, 0
21211222, 0
31311332, 1
21133233, 1
33233323, 0
31311231, 1
31311233, 1
21131321, 0
32332322, 1
32332323, 1
23132311, 1
22312132, 1
22312133, 1
23131332, 0
23213322, 1
22132112, 1
32313122, 0
23231233, 1
21111112, 0
33333231, 1
31332131, 1
31332132, 0
31332133, 1
32212332, 1
31232332, 1
21213121, 1
33132322, 0
31131312, 0
33313311, 0
21133232, 1
32212111, 0
21312331, 1
31233221, 1
31233222, 0
22113332, 1
13333222, 0
22232112, 1
22311212, 0
32113233, 1
22113232, 1
22113233, 1
31331331, 1
23133113, 1
23233333, 1
23312123, 1
31232312, 1
22311121, 0
31113132, 1
31113131, 1
32212333, 1
21311233, 1
32333122, 0
23313323, 1
23313322, 0
31312222, 1
33312312, 0
31312221, 0
33333223, 0
33333222, 0
23312131, 1
31313232, 1
31313233, 1
21331312, 0
22331321, 0
32232133, 0
32313231, 1
33312133, 1
32133223, 0
33211321, 0
21232233, 1
21232232, 1
32111112, 0
31311312, 0
11332212, 1
23311233, 1
21233322, 0
12233323, 0
12332333, 1
31233133, 0
32133312, 0
32133311, 0
33332133, 1
32332111, 0
21311122, 1
32332112, 0
33333311, 0
31133112, 0
31231211, 0
33332131, 1
22312312, 1
22312313, 1
22111231, 0
33133223, 0
32311221, 0
32332331, 1
21232323, 1
31211122, 0
12331221, 0
12331123, 1
21112322, 1
33131333, 1
33131332, 0
23212231, 1
21113322, 1
21232122, 1
32212231, 1
22212321, 1
32212233, 1
32212232, 1
21112132, 1
33311223, 0
32233112, 0
32331313, 0
22231211, 0
32331311, 0
31312323, 1
23312223, 1
32211323, 1
22133322, 1
23211131, 0
21132222, 1
32133113, 0
33133131, 1
