## this data is from Yougen's NBT paper
## the first 204 are from the supplementray material, the remaining 35 I got from someone?

>header
sequence name, T50, half_life at 57C


>data
## parents
11111111,55,15
22222222,43,0.36
33333333,49,0.86

## first 184 - random
32233232,39.8 ,NaN
32313233,52.9 ,NaN
21133233,48.8 ,NaN
31312113,45.0 ,NaN
21332223,48.3 ,NaN
21312323,61.5 ,NaN
22312322,54.6 ,NaN
21212112,51.2 ,NaN
23133121,47.3 ,NaN
11312233,51.6 ,NaN
21133312,45.4 ,NaN
21133313,50.8 ,NaN
11332233,43.3 ,NaN
31212332,53.4 ,NaN
12211232,49.1 ,NaN
31312133,52.6 ,NaN
12232332,39.2 ,NaN
22133232,47.9 ,NaN
22233221,46.8 ,NaN
23113323,51.0 ,NaN
11332212,47.8 ,NaN
32332231,49.4 ,NaN
22132331,53.3 ,NaN
23313111,56.9 ,NaN
23112323,46.0 ,NaN
11113311,51.2 ,NaN
21232233,50.6 ,NaN
12332233,47.1 ,NaN
23333311,45.7 ,NaN
32132233,42.9 ,NaN
22331123,47.9 ,NaN
12212332,48.4 ,NaN
31212323,48.7 ,NaN
32312322,49.1 ,NaN
32312231,52.6 ,NaN
21232332,49.3 ,NaN
31331331,47.3 ,NaN
21132222,45.6 ,NaN
21212333,63.2 ,NaN
21231233,50.6 ,NaN
22212322,50.7 ,NaN
21112122,50.3 ,NaN
22111223,51.3 ,NaN
23233212,39.5 ,NaN
31312212,48.9 ,NaN
32211323,46.6 ,NaN
21213231,54.9 ,NaN
21332312,52.9 ,NaN
22332211,53.0 ,NaN
22113323,53.8 ,NaN
22113332,48.7 ,NaN
22213132,52.0 ,NaN
31213332,50.8 ,NaN
22113211,51.1 ,NaN
22313323,60.0 ,NaN
32333233,47.2 ,NaN
22331223,51.7 ,NaN
23333233,51.0 ,NaN
22333332,49.0 ,NaN
23332331,48.0 ,NaN
21233132,42.4 ,NaN
13333211,45.7 ,NaN
22232331,50.5 ,NaN
22313233,58.5 ,NaN
31311233,56.9 ,NaN
21132321,49.3 ,NaN
32212231,47.4,NaN
23212212,48.0,NaN
22113223,49.9,NaN
22233211,46.3,NaN
23213311,49.5,NaN
31212321,44.9,NaN
23112233,51.0,NaN
32332323,48.5,NaN
22112223,52.8,NaN
32313231,52.5,NaN
32132232,42.5,NaN
22232233,49.6,NaN
22232322,45.4,NaN
22333211,50.7,NaN
22332223,52.4,NaN
23213212,49.0,NaN
23333213,50.1,NaN
31312233,57.9,NaN
22232333,53.7,NaN
31333233,46.5,NaN
22213212,50.5,NaN
22132212,46.6,NaN
21332233,58.9,NaN
23333131,50.5,NaN
31312332,54.9,NaN
21333221,51.3,NaN
22333223,49.9,NaN
21111333,62.4,NaN
12212212,44.8,NaN
11313233,48.3,NaN
32113232,47.9,NaN
21113322,50.4,NaN
31313232,51.9,NaN
23213333,56.1,NaN
21333233,54.2,NaN
22233212,44.0,NaN
21313112,54.8,NaN
31213233,50.6,NaN
22132113,40.6,NaN
31112333,55.7,NaN
31212331,51.8,NaN
22232222,47.5,NaN
23332221,46.4,NaN
21332131,58.5,NaN
23231233,45.5,NaN
22111332,50.9,NaN
23312121,49.3,NaN
22332222,50.3,NaN
23312323,53.8,NaN
21131121,53.0,NaN
32212232,48.8,NaN
22112323,55.3,NaN
21232232,49.5,NaN
11212333,50.4,NaN
31212232,51.0,NaN
23213211,47.4,NaN
11331312,43.5,NaN
23331233,50.9,NaN
22133323,49.4,NaN
33333233,46.3,NaN
22233323,48.4,NaN
32232131,43.9,NaN
31312323,52.3,NaN
21313313,64.4,NaN
22333231,53.1,NaN
22232123,43.1,NaN
21132323,50.1 ,NaN
23332231,51.4 ,NaN
12112333,50.9 ,NaN
22133212,47.2 ,NaN
31113131,54.9 ,NaN
23313333,61.2 ,NaN
21113133,51.9 ,NaN
21111323,54.4 ,NaN
22212123,47.7 ,NaN
12211333,50.6 ,NaN
23113112,46.3 ,NaN
21313122,50.5 ,NaN
23112333,54.3 ,NaN
12213212,44.0 ,NaN
23132233,43.6 ,NaN
21313311,56.9 ,NaN
21332231,60.0 ,NaN
23133233,43.1 ,NaN
21132212,48.8 ,NaN
23313233,56.3 ,NaN
21332322,48.8 ,NaN
22132231,53.0 ,NaN
21113312,53.0 ,NaN
22312223,56.2 ,NaN
23332223,46.7 ,NaN
32212323,48.4 ,NaN
21212111,57.2 ,NaN
31212212,47.1 ,NaN
22232121,49.7 ,NaN
21232212,47.8 ,NaN
21333223,49.1 ,NaN
23213232,48.5 ,NaN
22113232,51.1 ,NaN
11331333,46.3 ,NaN
22333321,49.2 ,NaN
21232321,46.0 ,NaN
31332233,49.9 ,NaN
21133232,46.4 ,NaN
22112211,54.7 ,NaN
21333333,58.0 ,NaN
22213223,50.8 ,NaN
21332112,50.4 ,NaN
21331332,52.0 ,NaN
11313333,53.8 ,NaN
32311323,52.0 ,NaN
23132231,48.0 ,NaN
12232232,40.9 ,NaN
21212231,59.9 ,NaN
33312333,54.7 ,NaN
22313232,58.8 ,NaN
22312111,53.0 ,NaN
32212233,49.9 ,NaN

